model,stratum,auroc,auprc,f1,precision,recall,balanced_accuracy,threshold,n_clips
audio_only,off_camera_likely,0.7987471412946207,0.8786256592448365,0.836104513064133,0.9025641025641026,0.7787610619469026,0.7826389579397435,0.01,315
video_only,off_camera_likely,0.6368201252858705,0.8003139075497971,0.8354898336414048,0.7174603174603175,1.0,0.5,0.059494949494949496,315
always_fuse,off_camera_likely,0.8138112757283484,0.9055440983301111,0.8314087759815243,0.8695652173913043,0.7964601769911505,0.7465446952371483,0.19808080808080808,315
gated_av,off_camera_likely,0.8050114348215174,0.8890076688992159,0.8353221957040573,0.9067357512953368,0.7743362831858407,0.7860445460873023,0.15848484848484848,315
audio_only,multi_person,0.7875222967807696,0.8914523480526548,0.8501362397820164,0.896551724137931,0.8082901554404145,0.7566040941136498,0.01,254
video_only,multi_person,0.69124267391489,0.8399312416022017,0.8635346756152126,0.7598425196850394,1.0,0.5,0.059494949494949496,254
always_fuse,multi_person,0.80650641297885,0.9190069865642728,0.8518518518518519,0.8702702702702703,0.8341968911917098,0.720377134120445,0.19808080808080808,254
gated_av,multi_person,0.7732098870296441,0.8992845910902678,0.8364611260053619,0.8666666666666667,0.8082901554404145,0.7074237662447974,0.15848484848484848,254
audio_only,low_quality,0.8333333333333333,0.8666666666666667,0.8,1.0,0.6666666666666666,0.8333333333333333,0.01,5
video_only,low_quality,0.0,0.4777777777777778,0.75,0.6,1.0,0.5,0.059494949494949496,5
always_fuse,low_quality,0.6666666666666666,0.8666666666666667,0.8,1.0,0.6666666666666666,0.8333333333333333,0.19808080808080808,5
gated_av,low_quality,0.8333333333333333,0.8666666666666667,0.8,1.0,0.6666666666666666,0.8333333333333333,0.15848484848484848,5
audio_only,low_face_visibility,0.8553884711779449,0.9037373927426878,0.8754716981132076,0.928,0.8285714285714286,0.8353383458646617,0.01,197
video_only,low_face_visibility,0.5967418546365914,0.7931937077836836,0.8308605341246291,0.7106598984771574,1.0,0.5,0.059494949494949496,197
always_fuse,low_face_visibility,0.8551378446115289,0.9363315363288232,0.8602941176470589,0.8863636363636364,0.8357142857142857,0.7862781954887218,0.19808080808080808,197
gated_av,low_face_visibility,0.8484335839598998,0.9088720591813735,0.8593155893536122,0.9186991869918699,0.8071428571428572,0.8158521303258146,0.15848484848484848,197
