clip_id,child_id,age_band,error_mode,label,proba_audio_only,proba_gated_av,proba_delta,visual_eligible,visual_eligibility_score,off_camera_likely_score,multi_person_clip,child_visible_score,manual_face_visibility_norm,manual_quality_norm,child_of_interest_clear_binary,n_face_tracks,existing_audio_score
1761,L6F2P7K8P1,34_38_months,av_helped_fn,1,0.0,0.1891238987445831,0.1891238987445831,1,0.88,,0,,0.8,1.0,1.0,,0.0
603,J4J6X7C4D9,34_38_months,av_helped_fn,1,0.0,0.1871779561042785,0.1871779561042785,1,0.88,,1,,0.8,1.0,1.0,,0.0
1389,M5O1K4W9O1,34_38_months,av_helped_fn,1,0.0,0.179885059595108,0.179885059595108,1,1.0,,1,,1.0,1.0,1.0,,0.0
1387,M5O1K4W9O1,34_38_months,av_helped_fn,1,0.0,0.1756953746080398,0.1756953746080398,1,1.0,,0,,1.0,1.0,1.0,,0.0
790,N5I9D3R2M1,34_38_months,av_helped_fn,1,0.0,0.1756953746080398,0.1756953746080398,1,1.0,,0,,1.0,1.0,1.0,,0.0
2980,A4E8K1L5Y2,34_38_months,av_helped_fn,1,0.0,0.1724578440189361,0.1724578440189361,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
1832,J3J0V4T8C3,34_38_months,av_helped_fn,1,0.0,0.1724578440189361,0.1724578440189361,1,0.8200000000000001,,0,,0.7,1.0,1.0,,0.0
690,R4O0P4P3J4,34_38_months,av_helped_fn,1,0.0,0.1613969802856445,0.1613969802856445,1,0.94,,1,,0.9,1.0,0.0,,0.0
2797,L4M8P2T7S0,34_38_months,av_helped_fn,1,0.0,0.1567984074354171,0.1567984074354171,1,0.86,,0,,0.8,0.95,1.0,,0.0
2324,A2P7X9N8L7,34_38_months,av_helped_fn,1,0.1012068827344801,0.254913198902743,0.1537063161682629,1,0.8200000000000001,,1,,0.7,1.0,0.0,,0.1012068827344801
1983,H7C3T0K5E5,34_38_months,av_helped_fn,1,0.0,0.151155412197113,0.151155412197113,1,0.94,,0,,0.9,1.0,1.0,,0.0
