filename,onset,offset,speaker,phonemes
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,21.34,21.92,KCHI,ʌ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,22.82,23.88,KCHI,w ʌ m ɛ p ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,43.78,47.28,KCHI,ɛ ɪ ɪ ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,71.64,73.44,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,79.6,85.48,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,85.7,86.1,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,86.28,87.56,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,120.5,122.88,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,125.94,126.28,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,130.64,131.34,KCHI,ɛ ɛ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,131.44,132.02,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,135.32,135.66,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,147.96,148.14,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,151.24,152.7,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,155.22,160.18,KCHI,w ɪ w ɪ w ɪ w ɪ w ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,172.52,173.22,KCHI,d u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,174.06,175.94,KCHI,t u t u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,176.08,176.46,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,179.4,179.66,KCHI,j
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,199.44,200.54,KCHI,ə d æ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,203.86,204.62,KCHI,o
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,205.26,205.7,KCHI,ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,206.96,207.68,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,208.6,210.44,KCHI,e
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,214.98,215.76,KCHI,ʌ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,217.2,218.9,KCHI,ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,229.84,230.34,KCHI,b ɛ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,258.38,259.5,KCHI,b ɑ b
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,259.76,260.3,KCHI,w ɪ m i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,272.72,273.16,KCHI,e ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,273.44,274.82,KCHI,e ɪ d i b u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,282.58,283.0,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,322.38,326.36,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,328.68,330.34,KCHI,h ʌ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,335.96,336.5,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,336.78,338.18,KCHI,i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,338.52,340.0,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,479.4,480.06,KCHI,d æ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,493.8,494.2,KCHI,w ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,511.44,512.68,KCHI,w i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,552.7,553.22,KCHI,u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,553.34,554.28,KCHI,w ɛ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,579.8,580.26,KCHI,ɡ ʊ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,603.82,604.68,KCHI,ɐ̃ h
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,612.92,616.9,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,637.28,637.9,KCHI,b u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,650.52,651.5,KCHI,ʊ u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,664.94,667.16,KCHI,m ʌ ɪ m i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,667.48,669.34,KCHI,o ʃ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,669.54,670.5,KCHI,m ɪ m i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,672.24,673.42,KCHI,m ɛ i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,692.76,693.4,KCHI,m
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,695.72,696.5,KCHI,u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,702.7,702.8,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,703.24,703.5,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,728.34,728.86,KCHI,ʊ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,807.94,809.06,KCHI,m ɪ ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,822.86,823.28,KCHI,ʌ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,893.08,894.9,KCHI,ɛ ɛ ɛ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,903.06,903.46,KCHI,u
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,915.4,917.04,KCHI,u d u ɛ d
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,936.0,937.28,KCHI,ʌ w ɪ n s i
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,949.44,950.8,KCHI,ʌ b w ɛ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,981.24,981.4,KCHI,
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,981.68,982.48,KCHI,h ʊ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,985.7,987.04,KCHI,ʌ w i w ɪ w ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,993.32,993.66,KCHI,ʌ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,1004.3,1005.38,KCHI,w ʌ b d ɪ
alex_010512__f20e3cc4f83578fae7189d4e78ccb253.wav,1006.94,1008.86,KCHI,i
