filename,onset,offset,speaker,phonemes
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,7.62,9.02,KCHI,ɪ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,10.98,11.94,KCHI,ʌ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,27.86,28.7,KCHI,
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,36.22,36.68,KCHI,ɛ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,52.14,53.42,KCHI,o d a w ɪ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,55.72,56.92,KCHI,o l ɑ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,59.8,62.36,KCHI,ʌ j u z ə w ɛ b o p ɛ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,67.66,70.62,KCHI,b ʌ d ɛ i b ɪ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,73.44,75.46,KCHI,b ɛ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,76.8,77.66,KCHI,h o m i
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,78.0,79.58,KCHI,z o b ɪ d ə b i
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,113.56,115.86,KCHI,o w ʊ d ɪ u
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,121.08,122.4,KCHI,w ʌ d ɛ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,123.9,126.24,KCHI,ə p ɛ b l a ʊ l a ʊ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,131.78,132.02,KCHI,
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,153.22,154.98,KCHI,ʌ o
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,159.56,160.0,KCHI,
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,164.32,165.4,KCHI,o b i
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,181.8,183.08,KCHI,
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,218.26,220.88,KCHI,w ɛ w e ɪ
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,275.72,277.72,KCHI,o w i j ə b ə l ə w i
alex_010614__1f6713adbb7c59059f9d736e4db1f101.wav,300.74,301.64,KCHI,p ɪ s æ p ɛ
