filename,onset,offset,speaker,phonemes
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,0.0,0.26,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,1.24,3.82,KCHI,b ʌ i æ b ɑ k i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,4.92,5.76,KCHI,ə d ɪ s
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,18.1,19.36,KCHI,o o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,19.94,21.14,KCHI,o p
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,21.98,23.88,KCHI,ɪ t ɛ p ʊ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,28.3,35.82,KCHI,b a ɪ n d a n w ɛ ə b ʊ t ʃ ɪ t ɪ ɪ t ʃ ɛ t
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,40.28,42.24,KCHI,b ʊ i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,44.1,47.34,KCHI,w ʌ d ʌ ʌ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,50.54,51.74,KCHI,a o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,59.22,59.7,KCHI,e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,59.92,60.8,KCHI,e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,68.5,70.18,KCHI,a h o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,71.46,71.64,KCHI,o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,78.74,79.4,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,83.58,87.16,KCHI,a o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,123.38,125.8,KCHI,ə t f i t i p
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,130.84,131.34,KCHI,m u
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,147.26,148.04,KCHI,d i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,148.96,151.24,KCHI,ɛ d i d ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,160.54,161.06,KCHI,o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,161.76,162.26,KCHI,o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,163.92,167.06,KCHI,d e d e d œ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,171.14,175.12,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,185.16,185.62,KCHI,m
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,188.92,189.8,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,215.14,217.68,KCHI,ɛ j a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,233.26,233.72,KCHI,ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,237.82,238.8,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,239.18,240.18,KCHI,ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,302.9,304.02,KCHI,b a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,331.26,331.94,KCHI,o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,344.6,345.9,KCHI,ʌ o o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,350.24,356.84,KCHI,æ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,359.54,360.66,KCHI,o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,378.3,379.5,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,398.08,401.16,KCHI,a a e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,402.28,402.66,KCHI,m
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,409.3,409.72,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,410.2,411.92,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,416.86,417.34,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,425.96,427.46,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,428.08,428.76,KCHI,ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,429.78,430.24,KCHI,ʊ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,430.86,431.76,KCHI,m ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,436.58,437.62,KCHI,ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,439.6,441.18,KCHI,ʊ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,442.56,445.76,KCHI,b ʌ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,446.72,450.06,KCHI,n e t i t u t y d ə l a e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,452.24,453.72,KCHI,e y
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,454.64,457.18,KCHI,y j j
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,460.26,461.04,KCHI,y
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,461.68,469.64,KCHI,y t a s e e i t u s u t u
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,473.62,476.72,KCHI,a h o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,477.6,490.78,KCHI,t u t u n e i e d ə p i t e e j u t u e e e p i t
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,493.52,494.64,KCHI,d ʌ t ʃ u
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,496.38,496.88,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,497.5,505.46,KCHI,a j ɪ i d ʌ t ʃ u p u i a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,509.94,512.12,KCHI,i a j i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,517.4,520.34,KCHI,e e j o p ɪ i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,520.82,523.38,KCHI,i i s i i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,526.86,528.56,KCHI,e ɪ t e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,529.18,533.32,KCHI,ʊ ʃ ʌ o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,533.48,537.3,KCHI,e ɪ ʌ j ɪ ʃ ʌ d æ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,550.24,550.58,KCHI,ɪ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,552.28,553.2,KCHI,ɛ t
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,554.22,555.78,KCHI,b ɑ b
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,561.18,561.78,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,561.9,562.0,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,563.98,565.16,KCHI,a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,577.1,580.72,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,581.52,582.92,KCHI,a ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,606.48,607.68,KCHI,
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,624.12,625.08,KCHI,ɛ h ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,658.32,658.92,KCHI,m ɪ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,660.68,661.24,KCHI,n ʌ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,662.0,662.8,KCHI,ɛ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,664.12,664.86,KCHI,m ʌ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,673.24,674.66,KCHI,ʊ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,675.48,676.6,KCHI,b i
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,686.02,687.6,KCHI,b a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,689.86,691.66,KCHI,t y d y t u
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,692.52,696.62,KCHI,d y t y b a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,700.9,703.6,KCHI,a a j œ ɛ j e m e
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,711.12,712.34,KCHI,b a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,712.54,714.12,KCHI,b a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,730.44,731.32,KCHI,b ɑ
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,749.0,750.52,KCHI,ʌ o
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,764.16,768.14,KCHI,p a
alex_010700__0f5b3a451935b03abe144813beeb7943.wav,782.32,788.04,KCHI,p ɛ a
