filename,onset,offset,speaker,phonemes
alex_010811__e9dc01140b406a634cb56895347a0503.wav,18.8,19.32,KCHI,d i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,25.42,27.86,KCHI,e ɛ s w ɔ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,28.54,32.06,KCHI,s w i ʃ ɪ s ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,33.44,34.82,KCHI,w ʌ s w i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,46.7,47.96,KCHI,ɛ ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,49.36,50.46,KCHI,s u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,51.86,53.52,KCHI,s u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,54.78,56.76,KCHI,u w i i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,58.9,60.12,KCHI,d u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,63.84,68.4,KCHI,b ɪ s t ə
alex_010811__e9dc01140b406a634cb56895347a0503.wav,69.74,70.54,KCHI,h
alex_010811__e9dc01140b406a634cb56895347a0503.wav,71.22,71.64,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,73.98,76.2,KCHI,ʌ ɪ s w ɛ ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,77.02,78.12,KCHI,o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,80.88,82.36,KCHI,w i s
alex_010811__e9dc01140b406a634cb56895347a0503.wav,84.4,86.48,KCHI,ʃ u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,87.24,89.6,KCHI,w u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,90.66,92.72,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,93.12,95.92,KCHI,w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ w ɪ b ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,96.82,98.52,KCHI,æ w b
alex_010811__e9dc01140b406a634cb56895347a0503.wav,102.14,107.44,KCHI,b ɛ t ʊ ʌ ɪ k i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,109.46,111.22,KCHI,h e ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,112.88,116.44,KCHI,a o j j ə k ɪ ɛ æ ɡ ə i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,118.02,118.9,KCHI,d u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,120.7,121.6,KCHI,ɛ w i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,134.94,135.64,KCHI,d ɪ t s
alex_010811__e9dc01140b406a634cb56895347a0503.wav,138.36,140.48,KCHI,æ l ə ɡ i k ɑ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,141.94,143.22,KCHI,j u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,154.36,157.44,KCHI,ɑ d ə ɡ ɪ ʊ d ɪ ɪ ɛ ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,161.62,163.18,KCHI,a w ʌ ɾ ə k ə ə k ɪ l ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,164.18,164.68,KCHI,o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,165.94,166.42,KCHI,o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,166.84,168.06,KCHI,i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,174.42,175.88,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,177.18,178.4,KCHI,a ɪ b i k ɡ w ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,182.9,185.26,KCHI,a ɪ ɡ ʊ d ə d ə ɡ ə d ə ɡ ə d ə ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,195.22,197.92,KCHI,a ɡ ɪ l ɪ k ə l ɪ ɡ ə l ɪ ɡ ə l ɪ ɡ ə l ɪ ɡ ɑ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,199.34,200.08,KCHI,i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,203.52,206.1,KCHI,a ɪ ɡ ə d ə ɡ ə d ə ɡ ɑ d ə ɡ ɑ æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,207.56,208.36,KCHI,ɑ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,208.82,210.94,KCHI,m
alex_010811__e9dc01140b406a634cb56895347a0503.wav,211.56,212.28,KCHI,i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,212.48,212.82,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,212.94,213.8,KCHI,h o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,214.28,214.92,KCHI,h o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,218.9,219.1,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,221.74,225.38,KCHI,æ d ɪ ɡ ə l ə ɡ ə d ə ɡ ɑ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,233.24,233.98,KCHI,m i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,234.82,235.34,KCHI,ə
alex_010811__e9dc01140b406a634cb56895347a0503.wav,244.62,245.94,KCHI,a ɪ ə a l ʊ k ə ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,252.12,252.74,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,258.7,259.32,KCHI,ʌ n
alex_010811__e9dc01140b406a634cb56895347a0503.wav,265.72,266.3,KCHI,d u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,305.92,306.74,KCHI,w i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,317.7,318.3,KCHI,ɡ ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,319.12,319.82,KCHI,ʌ m
alex_010811__e9dc01140b406a634cb56895347a0503.wav,322.38,324.22,KCHI,a w ə d ɪ ə d ə ɡ ə d ɪ ɡ ə d ə ɡ æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,334.32,335.04,KCHI,i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,337.28,341.26,KCHI,ɛ d i d i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,343.84,345.06,KCHI,i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,348.82,351.12,KCHI,æ ʒ u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,370.78,371.94,KCHI,w a j ə
alex_010811__e9dc01140b406a634cb56895347a0503.wav,373.48,374.8,KCHI,æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,375.24,376.84,KCHI,ɔ ɡ ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,380.0,381.52,KCHI,i s k u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,383.9,384.88,KCHI,l u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,388.48,389.44,KCHI,w i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,394.24,395.32,KCHI,w ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,398.0,398.92,KCHI,w ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,405.34,405.96,KCHI,b w i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,410.44,411.28,KCHI,d u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,414.22,415.84,KCHI,ɛ l o k ɔ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,416.76,417.5,KCHI,ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,421.32,422.46,KCHI,ɛ l ʌ j o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,468.56,469.44,KCHI,a ɪ j ɑ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,470.78,472.4,KCHI,d æ d æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,475.72,477.02,KCHI,w æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,495.86,497.1,KCHI,ʌ d ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,497.5,498.38,KCHI,b a ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,502.46,503.18,KCHI,a
alex_010811__e9dc01140b406a634cb56895347a0503.wav,508.72,509.22,KCHI,ɪ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,547.96,548.92,KCHI,ə w ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,552.54,553.22,KCHI,ɛ w ə
alex_010811__e9dc01140b406a634cb56895347a0503.wav,557.88,559.08,KCHI,ɑ ʊ w u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,575.14,575.78,KCHI,ʌ w ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,578.34,579.44,KCHI,d u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,581.52,582.74,KCHI,w a ʊ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,589.04,589.94,KCHI,w ʌ d æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,591.74,592.78,KCHI,w ʌ d æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,595.18,596.26,KCHI,w ʌ d æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,598.42,599.4,KCHI,w ʌ d æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,600.98,602.16,KCHI,o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,603.6,604.72,KCHI,ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,606.22,607.68,KCHI,a ɪ j u ə z ɪ k
alex_010811__e9dc01140b406a634cb56895347a0503.wav,609.26,610.52,KCHI,ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,612.38,613.68,KCHI,w æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,625.86,626.8,KCHI,o
alex_010811__e9dc01140b406a634cb56895347a0503.wav,647.74,648.16,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,653.88,655.36,KCHI,ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,666.4,667.26,KCHI,æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,667.84,668.96,KCHI,ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,669.24,670.0,KCHI,ʌ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,673.76,674.98,KCHI,ɐ̃
alex_010811__e9dc01140b406a634cb56895347a0503.wav,683.72,685.28,KCHI,ɛ ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,701.76,703.38,KCHI,ɛ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,704.14,705.0,KCHI,w a ɪ j æ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,706.04,706.68,KCHI,ɔ
alex_010811__e9dc01140b406a634cb56895347a0503.wav,724.0,724.68,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,736.52,737.68,KCHI,b u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,755.64,756.3,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,758.64,759.72,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,767.6,768.14,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,779.28,780.08,KCHI,d e
alex_010811__e9dc01140b406a634cb56895347a0503.wav,794.6,795.3,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,796.94,797.56,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,797.7,799.2,KCHI,a ɪ w ɛ t u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,807.94,809.26,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,809.88,810.54,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,813.28,814.88,KCHI,n ʌ n ʌ n u
alex_010811__e9dc01140b406a634cb56895347a0503.wav,817.0,818.92,KCHI,b i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,819.36,820.9,KCHI,b i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,821.26,822.8,KCHI,b i
alex_010811__e9dc01140b406a634cb56895347a0503.wav,825.56,826.0,KCHI,
alex_010811__e9dc01140b406a634cb56895347a0503.wav,840.02,841.2,KCHI,w ɑ
