filename,onset,offset,speaker,phonemes
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,3.98,4.28,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,6.48,7.3,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,8.82,10.4,KCHI,æ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,11.68,11.94,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,12.24,12.88,KCHI,ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,19.14,19.72,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,19.98,20.12,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,22.64,23.44,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,26.44,27.18,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,27.44,27.98,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,29.48,31.16,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,31.64,31.84,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,33.44,34.62,KCHI,m ə m ə m ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,50.28,55.18,KCHI,h m ʌ m m ɑ m i m ɑ m i m ɑ m i m ʌ m i l u m i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,63.84,65.46,KCHI,ʌ ə t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,88.18,89.5,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,95.56,97.34,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,98.38,100.3,KCHI,o n o o n e ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,102.32,103.48,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,105.36,107.46,KCHI,o n o o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,114.64,116.44,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,116.56,117.4,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,124.58,125.98,KCHI,ʌ s ʌ s ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,128.32,131.3,KCHI,m e ɡ ə m ɑ m i o d ɪ ɛ s ɡ o k ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,131.66,133.18,KCHI,ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,137.74,139.3,KCHI,ʌ m ɑ m ə
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,143.78,146.9,KCHI,ɑ m ə ʌ m ɑ m i ʌ m ɑ m i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,206.26,208.46,KCHI,m ɑ m i m ɑ m
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,286.56,288.62,KCHI,h ʌ w æ w o h ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,289.28,290.0,KCHI,ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,290.16,292.04,KCHI,ɑ ə w u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,298.5,299.14,KCHI,ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,306.46,307.5,KCHI,o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,311.38,311.88,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,316.52,320.1,KCHI,ɔ h ʌ ɑ o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,329.08,329.74,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,333.88,334.72,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,335.78,336.84,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,338.56,339.94,KCHI,w i b ɑ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,345.32,345.92,KCHI,ɡ ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,347.94,348.6,KCHI,k i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,357.88,358.2,KCHI,o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,365.48,365.96,KCHI,o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,371.02,371.98,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,373.3,374.12,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,375.26,376.08,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,377.14,378.1,KCHI,w o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,379.4,380.0,KCHI,d ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,387.26,387.9,KCHI,e ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,390.34,390.82,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,391.86,392.56,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,396.72,398.0,KCHI,w i w i d o n ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,400.44,401.74,KCHI,n ʌ n ə n ə n ə
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,402.02,402.3,KCHI,n ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,402.68,404.1,KCHI,n ʌ n ə n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,411.76,412.64,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,413.64,413.92,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,415.8,417.9,KCHI,w ɛ ɑ n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,480.14,481.12,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,483.2,484.32,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,486.92,487.88,KCHI,ʃ u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,493.62,494.8,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,505.28,505.78,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,509.44,513.72,KCHI,ʌ s ʌ s ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,524.36,525.54,KCHI,ʌ s ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,545.26,546.1,KCHI,w ə s z æ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,546.82,547.32,KCHI,o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,547.52,549.74,KCHI,s i u ɔ n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,567.1,568.38,KCHI,o n ɑ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,582.38,583.1,KCHI,m ɛ m ɑ i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,583.22,583.68,KCHI,m ɑ m i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,583.92,584.22,KCHI,m ʌ m
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,586.42,586.7,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,587.22,587.54,KCHI,ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,589.04,589.54,KCHI,m ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,615.54,616.12,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,617.88,618.8,KCHI,k a
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,620.46,620.74,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,631.86,632.48,KCHI,ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,641.98,642.46,KCHI,k a ʊ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,650.46,651.28,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,654.5,655.54,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,658.2,659.22,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,664.66,665.82,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,673.02,674.72,KCHI,ʌ n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,676.82,679.48,KCHI,o o s e ɾ ə b ɪ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,679.96,681.1,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,688.54,690.62,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,691.0,696.28,KCHI,w i w i w i u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,696.96,697.68,KCHI,u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,698.26,699.18,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,699.82,700.42,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,700.76,701.94,KCHI,w ɪ d ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,704.9,706.46,KCHI,w ʌ d ɪ s i d
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,707.66,709.32,KCHI,ɪ w ɛ w ə
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,722.82,723.54,KCHI,ɪ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,725.78,726.78,KCHI,ʌ s ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,729.3,730.64,KCHI,ʌ s ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,730.84,731.24,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,736.3,736.78,KCHI,w ɑ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,738.34,739.02,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,740.28,741.8,KCHI,t u w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,744.76,745.88,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,796.0,796.22,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,800.4,801.3,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,803.96,804.42,KCHI,w æ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,806.02,806.9,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,824.24,825.28,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,826.26,826.8,KCHI,w ɛ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,828.16,830.24,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,839.2,840.52,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,844.14,845.64,KCHI,u w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,856.94,858.56,KCHI,m i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,867.74,868.52,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,883.56,884.46,KCHI,ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,888.78,889.74,KCHI,e ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,892.1,893.16,KCHI,j ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,894.4,895.16,KCHI,d ʌ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,895.92,897.34,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,898.2,899.48,KCHI,ʌ n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,907.44,907.98,KCHI,
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,908.64,909.88,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,916.42,917.16,KCHI,u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,928.08,928.64,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,930.26,931.32,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1082.76,1083.66,KCHI,o w ɪ z ə
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1093.66,1095.0,KCHI,ʌ s b r o s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1096.18,1097.4,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1100.98,1102.42,KCHI,o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1103.8,1105.56,KCHI,o n o w ɪ t s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1105.66,1107.46,KCHI,d ɪ s o n o
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1108.84,1111.54,KCHI,ɪ s ɡ w ɪ z ə p d ɪ z ɡ o d ɪ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1113.38,1114.12,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1114.4,1116.8,KCHI,w i t u t
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1118.84,1120.22,KCHI,ʌ ɛ w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1130.32,1132.46,KCHI,w ɛ w ɪ
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1154.92,1155.3,KCHI,ʌ s
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1188.68,1189.72,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1194.98,1195.88,KCHI,t u
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1198.32,1199.48,KCHI,w i
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1269.92,1270.76,KCHI,ʌ n ɡ ʌ d
alex_011006__3ab2df8e29fdd1fd5fc52af608f50055.wav,1272.3,1273.6,KCHI,m
