filename,onset,offset,speaker,phonemes
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,3.98,5.06,KCHI,m ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,8.72,9.66,KCHI,h ʌ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,14.54,15.02,KCHI,
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,16.08,16.64,KCHI,a ɪ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,36.38,36.72,KCHI,m ɑ m i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,37.68,38.76,KCHI,m ɑ m i ə p ɑ p
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,51.94,52.44,KCHI,h ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,58.98,59.7,KCHI,n ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,64.2,65.06,KCHI,
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,69.8,71.52,KCHI,d ɪ s w ʌ s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,79.46,81.3,KCHI,ʌ p d ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,87.58,88.18,KCHI,o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,91.18,92.26,KCHI,n æ n ə z i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,96.92,98.84,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,101.84,103.0,KCHI,w ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,113.16,114.1,KCHI,d æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,116.48,117.5,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,120.06,121.06,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,124.18,126.36,KCHI,b æ w e w e w ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,131.84,135.04,KCHI,o p e ɪ e ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,135.54,141.98,KCHI,f i f i d u i h i h ɪ h i i h i h i h
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,143.28,144.36,KCHI,w ɛ p ʌ p
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,145.06,145.58,KCHI,w ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,146.4,150.92,KCHI,w ɛ w e ɪ w ɛ ɪ o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,151.24,152.98,KCHI,ɔ j o m ɑ m i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,153.14,154.14,KCHI,o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,166.68,167.16,KCHI,m ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,168.24,169.36,KCHI,m ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,171.96,175.12,KCHI,o m ɛ d ɪ l ɪ d ɪ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,188.4,192.68,KCHI,o a ɪ d i l i s i s i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,193.06,194.48,KCHI,s i s i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,198.52,199.64,KCHI,ə b i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,200.26,204.3,KCHI,b i b i i j n o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,205.44,206.58,KCHI,ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,207.42,208.2,KCHI,ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,208.84,209.6,KCHI,ʌ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,218.08,218.9,KCHI,m ɑ m i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,220.0,220.58,KCHI,m ɑ m i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,221.02,221.7,KCHI,ʌ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,224.48,225.16,KCHI,b u
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,226.44,227.04,KCHI,b ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,229.6,230.34,KCHI,b ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,230.96,231.76,KCHI,b ɛ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,232.78,233.58,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,234.1,234.6,KCHI,s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,235.16,235.74,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,237.28,238.4,KCHI,b ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,239.22,239.76,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,240.88,241.86,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,262.16,263.24,KCHI,w ə s d ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,265.16,265.96,KCHI,ə m o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,266.66,267.26,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,268.7,269.64,KCHI,k w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,271.08,272.16,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,273.92,275.14,KCHI,ʌ l o b ɪ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,279.4,281.74,KCHI,d i s ɑ m o d ɪ z w z
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,282.88,283.3,KCHI,ɪ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,283.72,284.22,KCHI,ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,284.72,284.9,KCHI,ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,293.8,294.88,KCHI,o w a w a
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,295.0,297.22,KCHI,w a w a w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,305.08,306.1,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,311.42,311.98,KCHI,t i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,313.12,314.36,KCHI,o b a ʊ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,317.22,317.52,KCHI,t
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,318.8,319.54,KCHI,t u
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,325.44,327.08,KCHI,w a ʊ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,328.12,329.36,KCHI,w ʌ s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,330.52,331.34,KCHI,w ə z æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,336.92,338.3,KCHI,a
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,338.68,339.56,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,342.28,343.8,KCHI,w æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,346.94,347.78,KCHI,o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,354.68,357.8,KCHI,l i d i h i w i d ə b o w i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,360.0,360.2,KCHI,
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,365.52,366.16,KCHI,p i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,367.6,368.3,KCHI,o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,369.7,370.52,KCHI,b i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,371.52,372.26,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,376.86,377.8,KCHI,p i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,378.34,379.44,KCHI,n ʌ n ə n ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,379.94,380.68,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,395.76,396.5,KCHI,t u
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,399.46,400.24,KCHI,s ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,400.62,401.54,KCHI,e ɪ e ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,402.34,402.6,KCHI,ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,403.18,404.02,KCHI,o j o
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,405.5,406.24,KCHI,d ɪ z i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,414.62,415.24,KCHI,s i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,415.98,417.44,KCHI,ʌ s a ɪ s ɪ s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,420.14,421.02,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,422.68,422.9,KCHI,s
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,429.0,429.84,KCHI,a ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,432.7,433.46,KCHI,a ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,435.72,436.36,KCHI,m ɑ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,437.16,437.8,KCHI,t u
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,439.34,439.94,KCHI,w i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,448.04,448.8,KCHI,w ə s æ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,449.84,450.68,KCHI,e ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,451.8,452.38,KCHI,w i
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,453.26,454.36,KCHI,e ɪ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,457.86,458.68,KCHI,ʌ
alex_011024__1e04e45c9da29b411515afa36ecbfca2.wav,459.52,460.12,KCHI,w ʌ
