filename,onset,offset,speaker,phonemes
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,3.84,3.98,KCHI,ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,8.1,9.54,KCHI,a a d l u
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,11.58,12.0,KCHI,a ɪ n o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,14.72,15.44,KCHI,ə m o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,16.4,17.02,KCHI,a s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,18.1,18.58,KCHI,ʌ t
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,54.28,55.02,KCHI,ʌ z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,56.42,57.16,KCHI,ʌ z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,57.98,58.68,KCHI,ʌ z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,61.4,61.82,KCHI,ʌ z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,63.06,64.5,KCHI,z ɪ o ʌ w
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,66.02,66.9,KCHI,m ɛ m ɛ m ɪ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,68.5,69.48,KCHI,ɪ h
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,71.98,73.44,KCHI,æ b ə
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,74.36,74.94,KCHI,ʊ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,83.76,84.66,KCHI,ʌ l ɪ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,86.76,87.56,KCHI,ʌ z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,88.72,90.18,KCHI,ʌ ə p ʌ d ʌ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,90.98,91.74,KCHI,m ə m ɛ n
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,93.76,95.36,KCHI,m ɪ m ɛ m ɛ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,96.66,97.1,KCHI,d ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,108.24,108.62,KCHI,ʌ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,109.84,110.68,KCHI,w ʌ d ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,111.7,112.52,KCHI,ə d ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,113.56,114.44,KCHI,m e m ɪ m ɪ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,116.68,117.52,KCHI,ʌ d ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,133.5,134.4,KCHI,ʌ d o z
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,136.56,137.3,KCHI,w ʌ d æ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,138.58,138.88,KCHI,
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,139.3,140.14,KCHI,d æ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,142.1,143.08,KCHI,ʌ d u
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,159.2,159.94,KCHI,w ə s æ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,161.46,162.5,KCHI,ʌ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,164.6,165.82,KCHI,w ʌ z ɪ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,167.16,168.06,KCHI,w ʌ d ɑ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,173.1,173.84,KCHI,ʌ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,175.54,175.72,KCHI,
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,181.54,182.22,KCHI,ʌ j ʊ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,187.98,188.94,KCHI,w ə s æ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,192.68,193.38,KCHI,w ʌ ð ɪ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,206.2,207.24,KCHI,ə b o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,211.14,212.58,KCHI,a ɪ z ʊ r d ɪ s i
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,214.64,215.66,KCHI,h ɪ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,217.4,218.46,KCHI,ə z æ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,219.7,220.58,KCHI,m ɪ m ɪ n
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,232.56,233.54,KCHI,ʌ d ə d ɪ d ə
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,250.34,251.08,KCHI,j ʌ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,258.7,258.88,KCHI,
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,267.3,267.98,KCHI,ɛ s
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,291.56,292.34,KCHI,ə d ə d ʌ j i
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,299.96,300.84,KCHI,æ b o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,301.68,302.66,KCHI,ɪ m ɛ m ɛ m ɛ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,302.8,302.96,KCHI,m
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,308.84,309.94,KCHI,o f ʊ ɾ e ɪ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,314.52,315.4,KCHI,ʌ
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,326.74,327.42,KCHI,ʌ j o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,352.12,352.6,KCHI,ʌ l
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,353.54,354.48,KCHI,a ɪ l ʌ d i z i
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,359.56,360.6,KCHI,ʌ t h ʌ l e
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,361.88,362.6,KCHI,n o
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,366.88,367.28,KCHI,h i
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,370.14,370.74,KCHI,
alex_011103__331bb5bbf6d34399c8bfbd5c97c2baf3.wav,373.34,374.86,KCHI,ʌ z a l ʊ
