filename,onset,offset,speaker,phonemes
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,29.02,29.94,KCHI,b u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,31.06,31.62,KCHI,ʌ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,36.06,38.1,KCHI,ʌ b u ʌ h ʌ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,39.86,40.38,KCHI,ʌ b u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,45.26,46.36,KCHI,
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,48.96,49.64,KCHI,h e ɪ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,74.58,75.14,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,90.24,90.96,KCHI,m ɑ m i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,91.98,92.24,KCHI,s i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,95.92,96.78,KCHI,w ə s æ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,115.42,116.02,KCHI,ʌ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,119.5,120.34,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,121.1,121.94,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,122.26,123.38,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,154.0,154.92,KCHI,w a ɪ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,228.08,229.02,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,231.24,231.86,KCHI,t u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,234.16,235.06,KCHI,u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,253.78,254.92,KCHI,ʌ d ə b u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,261.48,262.62,KCHI,e ɪ s
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,264.44,265.9,KCHI,w ʌ n t u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,421.32,421.88,KCHI,m
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,422.3,423.14,KCHI,m ɑ m i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,424.58,425.36,KCHI,m ɑ m i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,426.06,427.08,KCHI,w ʌ m ɑ m i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,427.78,428.54,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,432.32,433.18,KCHI,t u
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,440.58,441.44,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,444.32,444.92,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,449.88,450.56,KCHI,ʌ s
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,451.04,451.66,KCHI,ʌ t
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,456.98,457.7,KCHI,ʌ s
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,463.82,464.46,KCHI,m ɑ m ɪ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,473.22,473.88,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,496.18,497.04,KCHI,m ɑ m i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,497.62,498.36,KCHI,s æ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,502.92,503.98,KCHI,s æ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,512.9,513.86,KCHI,m ɑ b i
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,516.28,517.06,KCHI,s æ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,541.28,541.8,KCHI,m
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,596.22,597.12,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,606.24,607.36,KCHI,m
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,651.1,652.04,KCHI,
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,652.72,653.4,KCHI,a ɪ s
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,660.8,661.62,KCHI,s ɛ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,664.66,665.42,KCHI,w ʌ n
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,679.64,681.88,KCHI,w i h ɛ w a ɪ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,684.96,686.46,KCHI,b a ɪ
alex_011117__c8c155a5d1f6b1854711645071d7d173.wav,774.38,775.36,KCHI,w ʌ n
