filename,onset,offset,speaker,phonemes
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,7.96,8.76,KCHI,
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,42.7,43.78,KCHI,a ɪ j i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,57.56,58.32,KCHI,d i ʒ i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,58.76,59.4,KCHI,s æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,61.14,61.86,KCHI,w o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,63.3,65.2,KCHI,w u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,67.66,69.12,KCHI,ʌ b i b i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,76.88,79.42,KCHI,ʌ o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,80.2,81.94,KCHI,d ɑ d ɪ b u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,86.12,87.26,KCHI,ʌ b u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,116.12,117.26,KCHI,m ɛ m ɛ m ɛ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,133.78,134.76,KCHI,ə n o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,140.34,141.34,KCHI,ʌ h o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,142.68,143.52,KCHI,ʌ h
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,144.58,144.88,KCHI,ʌ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,148.12,148.92,KCHI,s æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,151.24,152.48,KCHI,m i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,153.62,154.34,KCHI,ə j u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,157.02,157.92,KCHI,s æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,158.36,159.02,KCHI,j æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,159.76,160.4,KCHI,j æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,162.46,163.36,KCHI,ə s æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,164.32,165.56,KCHI,a ɪ d ɪ d u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,165.8,166.46,KCHI,ə l ʊ s
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,169.38,170.42,KCHI,ə b u
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,171.3,172.0,KCHI,s i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,187.56,188.52,KCHI,m ɑ m i
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,191.36,192.2,KCHI,ʌ h o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,194.54,195.02,KCHI,
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,207.28,209.18,KCHI,m ɑ m i w ə s æ
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,209.94,210.94,KCHI,a ɪ n o
alex_011127__d815bf56c75d36772a14a71b1e507db7.wav,225.64,226.5,KCHI,ʌ h o
