filename,onset,offset,speaker,phonemes
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,9.92,11.7,KCHI,n o n o n o n n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,14.38,15.26,KCHI,n ʌ n ɪ n
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,15.92,17.52,KCHI,a l ə p æ k
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,18.02,18.46,KCHI,o n ʌ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,22.68,23.88,KCHI,o n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,24.34,26.5,KCHI,o n o o n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,26.84,27.86,KCHI,o n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,35.48,36.76,KCHI,ʌ n o n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,39.24,40.52,KCHI,p u p u p
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,70.4,71.92,KCHI,n o ɑ n ə
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,74.44,75.5,KCHI,ʌ n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,78.3,79.6,KCHI,ɑ ʌ n
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,102.66,102.9,KCHI,ʌ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,135.46,136.78,KCHI,i t i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,142.68,143.54,KCHI,ə t i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,144.74,146.94,KCHI,j u w i ɛ n ə t ʃ i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,147.26,147.52,KCHI,
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,149.8,151.24,KCHI,ʌ l ʌ ə l ə t e ɪ d ə
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,151.38,152.0,KCHI,ʌ d o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,152.22,153.58,KCHI,ʌ l o ɑ d o w ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,166.28,167.62,KCHI,ɪ ʃ e ɪ t ʃ i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,168.56,169.46,KCHI,ə h æ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,172.92,173.64,KCHI,i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,173.86,175.12,KCHI,ʌ t ʃ i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,201.22,202.88,KCHI,l ə f i ʌ l ə p i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,214.58,215.74,KCHI,i s i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,226.88,228.1,KCHI,o ʌ l o w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,234.08,235.08,KCHI,w ɛ d ə b u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,241.26,241.94,KCHI,w ɛ d ə b u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,244.44,245.12,KCHI,ə b u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,259.96,262.68,KCHI,ʌ n o n o n ə n ɛ s o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,266.16,267.86,KCHI,ʌ n ʌ ə p i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,268.98,270.88,KCHI,o n o b i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,278.6,279.68,KCHI,w a ʊ p
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,301.74,303.04,KCHI,s ɑ z ə p i d ə r
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,305.18,306.44,KCHI,n o d ɪ s æ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,307.32,308.54,KCHI,l ʌ l o d
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,312.78,313.94,KCHI,a n o i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,318.74,320.42,KCHI,ʌ n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,325.98,328.0,KCHI,r ə p e
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,331.7,332.36,KCHI,t ʃ w ʌ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,351.3,352.76,KCHI,w ʌ n ə b e
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,358.32,360.0,KCHI,t ʃ e ə ʒ ɪ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,360.56,361.84,KCHI,s ʊ ə ʃ ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,362.18,363.92,KCHI,ʌ d ɪ ʃ ɛ t ɪ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,367.34,368.48,KCHI,t w ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,369.62,370.48,KCHI,n ʌ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,397.64,399.74,KCHI,b u b u b u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,403.4,403.96,KCHI,n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,404.72,405.8,KCHI,n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,410.8,411.76,KCHI,o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,432.24,432.5,KCHI,a ʊ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,436.12,437.14,KCHI,t w a
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,437.42,438.62,KCHI,t w a ʊ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,446.46,448.08,KCHI,m o ə m o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,448.48,449.8,KCHI,ə m o ə
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,452.6,455.56,KCHI,h w æ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,456.1,457.08,KCHI,
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,458.16,459.68,KCHI,t b o w a ʊ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,462.0,462.96,KCHI,t w a ʊ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,469.8,470.62,KCHI,m ɑ m i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,471.62,472.74,KCHI,t w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,481.58,482.46,KCHI,ɪ t ɪ t
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,512.12,516.82,KCHI,ʌ n ə n ə d i d u w i ʌ d ɪ d o w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,518.54,520.98,KCHI,u w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,537.86,539.44,KCHI,n o ə d ɪ ʃ ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,539.8,541.04,KCHI,ə j ɪ t ʃ ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,543.32,544.36,KCHI,ə ə t ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,545.34,546.8,KCHI,n o ɪ j u t ʃ ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,547.42,549.14,KCHI,n o ə d ə t ʃ ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,549.96,550.94,KCHI,ɛ n ə w ʌ n
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,552.88,553.22,KCHI,
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,553.58,554.88,KCHI,ʌ j u d u w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,555.36,556.16,KCHI,j u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,557.22,560.32,KCHI,t ʃ u i ɛ d ə b i p i h ʌ l ɪ s w ɪ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,572.42,573.48,KCHI,d u w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,591.16,592.24,KCHI,n o d ʒ u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,593.96,595.32,KCHI,ɡ ɑ ɡ ɑ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,597.48,598.5,KCHI,b ɛ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,599.74,600.98,KCHI,o n o n ʌ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,607.82,611.02,KCHI,n o n o n
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,611.46,614.04,KCHI,n o n o n u
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,614.34,615.94,KCHI,n o n o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,635.08,636.14,KCHI,ʌ j ə p i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,636.82,637.7,KCHI,ə j ə p i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,639.62,642.42,KCHI,ɑ n o m ɑ m
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,683.06,683.64,KCHI,w i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,687.64,688.36,KCHI,k ɑ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,691.1,691.76,KCHI,b ɔ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,693.44,693.88,KCHI,ɔ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,699.7,700.48,KCHI,k æ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,700.9,701.6,KCHI,d ɑ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,750.92,751.82,KCHI,m ɑ m i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,752.32,753.06,KCHI,m ɑ m i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,753.68,754.76,KCHI,ə d ɛ ɡ ɑ w ɑ
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,755.82,756.2,KCHI,h o
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,787.52,788.8,KCHI,a ɪ ɡ i k i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,796.0,797.16,KCHI,d i j i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,798.8,799.88,KCHI,d i d i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,801.38,803.26,KCHI,ʌ ɡ i ɡ i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,804.02,805.38,KCHI,ʒ i j i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,805.9,807.12,KCHI,ʒ i j i
alex_020102__fc55a9a414de5d2cc47dd3291c563d7d.wav,811.14,812.54,KCHI,a ɪ j ə d u i
