filename,onset,offset,speaker,phonemes
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,13.04,13.8,KCHI,w i d i w i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,24.12,25.96,KCHI,ɑ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,29.12,30.84,KCHI,ɑ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,31.84,34.62,KCHI,ɑ ɑ ɑ ɑ ɑ ɑ ɑ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,42.1,43.46,KCHI,h ʌ f i f i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,52.06,55.76,KCHI,ə p ɑ p ə h ʌ j ɪ o w ɪ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,56.68,57.3,KCHI,w ɪ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,65.5,66.18,KCHI,b ʌ w i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,67.26,68.1,KCHI,ʌ m ʌ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,73.6,75.46,KCHI,w i d ʒ i d ʒ i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,78.1,79.18,KCHI,ɡ w i s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,86.04,87.56,KCHI,w i o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,87.86,88.94,KCHI,w a
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,99.28,100.24,KCHI,d æ d ə
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,103.68,104.32,KCHI,d i s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,106.18,106.94,KCHI,w i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,108.34,108.96,KCHI,ʌ t i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,110.86,111.88,KCHI,w i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,112.2,113.0,KCHI,b ʌ ɡ ʊ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,114.0,114.6,KCHI,w i d
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,118.32,118.98,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,119.42,119.62,KCHI,i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,120.48,121.44,KCHI,ʊ ɡ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,130.22,131.52,KCHI,o d i w i b i b i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,139.02,142.34,KCHI,ɡ w ɑ w ɑ ɡ w ɑ d ʒ u
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,143.28,144.4,KCHI,ɡ w ʌ ɡ w
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,150.4,151.04,KCHI,b l u
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,156.9,157.8,KCHI,ə k ɑ z
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,159.32,159.94,KCHI,m o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,161.12,161.7,KCHI,p i s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,163.42,163.88,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,171.14,172.5,KCHI,m o k ɑ s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,175.12,176.28,KCHI,w ə s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,176.5,177.86,KCHI,w ə s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,213.02,214.7,KCHI,w ʌ l ə k ɑ z
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,216.26,217.6,KCHI,w ʌ l ə k ɑ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,222.06,222.88,KCHI,w ʊ z ɑ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,235.04,235.82,KCHI,ʌ l o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,237.9,238.38,KCHI,m ʌ ɪ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,242.78,242.96,KCHI,
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,243.3,243.76,KCHI,h ʌ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,244.54,245.0,KCHI,h ʌ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,246.46,247.26,KCHI,h ɛ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,248.42,249.06,KCHI,b u t
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,250.22,251.52,KCHI,ə h ɛ l ʊ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,256.32,256.46,KCHI,
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,256.56,257.3,KCHI,p ʌ b o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,258.9,259.32,KCHI,h
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,264.44,264.64,KCHI,p ʌ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,268.0,268.4,KCHI,s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,269.2,269.88,KCHI,ʌ d o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,276.66,278.2,KCHI,w ə s æ t ʌ ɡ ə
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,283.02,283.6,KCHI,p e s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,295.18,295.74,KCHI,s ʌ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,300.8,301.52,KCHI,s i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,302.08,302.84,KCHI,h i w ʌ s
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,307.26,308.96,KCHI,k w ə l ɛ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,325.6,326.3,KCHI,p
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,327.12,327.8,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,329.36,330.34,KCHI,ʌ j ɪ m ɑ m i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,332.48,333.38,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,334.6,335.82,KCHI,e m ɑ m i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,339.2,340.08,KCHI,w ʌ s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,340.76,341.36,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,342.08,342.56,KCHI,w ə s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,343.36,344.46,KCHI,ɛ l o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,348.18,350.24,KCHI,w ʌ n t u w i f o
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,352.96,353.68,KCHI,ɛ s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,360.8,361.02,KCHI,ɪ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,362.18,363.2,KCHI,s æ w ʌ n
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,365.32,366.04,KCHI,p ɛ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,370.14,370.7,KCHI,
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,371.78,372.6,KCHI,t ʃ ʌ ɡ ʊ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,375.94,376.6,KCHI,w ə s æ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,377.36,377.5,KCHI,i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,377.62,377.96,KCHI,z
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,381.28,384.2,KCHI,ʌ d b u
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,384.56,385.28,KCHI,ʊ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,386.52,387.18,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,390.46,392.24,KCHI,ɡ w ɛ
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,394.16,394.92,KCHI,p i
alex_020314__d0bd59d45c80a18bdeb9855852c9479f.wav,403.14,403.74,KCHI,b ɑ
