filename,onset,offset,speaker,phonemes
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,0.0,0.56,KCHI,j ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,5.02,5.68,KCHI,ɡ w i n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,10.44,11.94,KCHI,n o t ʃ w e ɪ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,14.68,15.4,KCHI,n o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,30.28,31.36,KCHI,h a w ə h ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,37.06,40.4,KCHI,ɑ p ɑ ɑ p
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,40.64,43.16,KCHI,ɑ p ɑ p l ə h ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,45.7,47.02,KCHI,i i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,61.36,62.52,KCHI,n i n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,62.94,63.68,KCHI,ʌ m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,67.66,68.84,KCHI,o n ʌ w ʌ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,71.64,72.66,KCHI,l a ɪ d ɪ d ɪ t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,73.26,74.92,KCHI,ɛ l ə l a ɪ d ɪ n ɪ t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,96.02,96.5,KCHI,t o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,117.52,118.54,KCHI,m ɑ m i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,119.24,121.1,KCHI,h æ d ɪ s w ʌ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,122.42,124.4,KCHI,d ɑ w e ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,124.72,125.94,KCHI,o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,126.36,127.36,KCHI,u m ɑ m i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,132.78,133.46,KCHI,ʌ d ɪ d ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,140.18,141.62,KCHI,ʌ ɡ l ə s i m ɑ m i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,141.84,142.98,KCHI,ə ɡ o m ɑ m i p l i s
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,145.16,146.66,KCHI,m ɑ i s ɪ d æ t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,150.4,151.1,KCHI,ð ə t ʃ w i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,164.58,165.4,KCHI,m ə ɡ w i n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,166.18,167.92,KCHI,n ɡ ɛ ɾ ɪ ɡ w i n d i s
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,168.36,169.12,KCHI,ɔ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,178.14,179.1,KCHI,n o n o n o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,215.34,216.38,KCHI,n o w ə t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,223.68,225.64,KCHI,d ɪ s w ʊ s ɪ d ɪ z
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,251.0,252.0,KCHI,ʌ p
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,286.56,287.44,KCHI,i ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,287.8,288.24,KCHI,t ʃ ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,289.92,290.44,KCHI,m a ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,290.72,293.06,KCHI,m a ɪ æ l ə m ɑ k ʊ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,293.68,294.52,KCHI,ʌ p ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,296.46,296.56,KCHI,ɡ w ʌ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,297.56,297.88,KCHI,l ə
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,298.5,298.72,KCHI,s
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,299.32,299.88,KCHI,ə w ɑ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,300.72,301.64,KCHI,ɪ s t r e ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,302.08,302.48,KCHI,ʌ p
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,302.9,306.12,KCHI,ʌ b ə d i h ɪ n a ʊ z d a ʊ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,306.7,307.64,KCHI,ʊ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,308.96,310.88,KCHI,d a ʊ n ɛ n ə v ɪ l i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,312.66,313.56,KCHI,w i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,313.94,315.08,KCHI,h ɛ n o w ɛ ɾ ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,315.36,316.48,KCHI,h ɛ l o w ɛ ɾ ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,325.08,326.84,KCHI,ɑ p ɑ p l i h ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,328.84,330.44,KCHI,d a ʊ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,332.22,334.84,KCHI,d a n n h ɛ l i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,335.4,335.94,KCHI,m i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,336.84,337.54,KCHI,h u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,339.7,340.58,KCHI,t u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,340.72,341.48,KCHI,d ɛ m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,342.28,343.22,KCHI,m a ɪ d ɪ ɾ ɪ t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,344.6,345.76,KCHI,ɑ w ʌ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,346.06,346.26,KCHI,w ʊ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,354.22,354.62,KCHI,
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,355.28,356.46,KCHI,u m ɪ ɪ n ə
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,357.7,358.08,KCHI,m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,359.5,360.22,KCHI,n o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,360.66,361.78,KCHI,m ɔ h ɑ m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,362.34,363.2,KCHI,m m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,368.26,369.4,KCHI,k ɔ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,370.82,372.24,KCHI,m ə t ɛ m ə
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,374.6,375.34,KCHI,
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,376.54,377.36,KCHI,ɔ ə n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,378.94,380.2,KCHI,m ɪ s ɪ m u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,381.0,382.08,KCHI,ɡ i b i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,383.72,384.68,KCHI,m ɑ m
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,386.06,386.92,KCHI,s ə m u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,387.52,389.5,KCHI,
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,390.24,391.04,KCHI,ʌ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,391.72,392.56,KCHI,n o b ɑ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,400.06,401.54,KCHI,d ɪ z m ɑ m i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,405.6,405.96,KCHI,b i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,410.02,410.84,KCHI,b ɛ t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,412.02,412.82,KCHI,b ɑ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,414.68,422.14,KCHI,m ʌ k ʊ w ɑ l ə w ə n ɪ ɡ ʊ ɡ ə n o ə n ɛ d ə k o ɛ w ʌ n h ɪ n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,425.86,426.94,KCHI,ɛ n o
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,428.82,429.46,KCHI,a
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,430.88,432.54,KCHI,d æ n ə s t w i t
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,435.02,436.92,KCHI,w ə z æ w i t o v ə d ɛ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,438.3,439.78,KCHI,b a b a ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,443.8,445.24,KCHI,b a b a ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,445.76,447.2,KCHI,b a b a ɪ t w e n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,448.4,449.74,KCHI,d æ n ə s t r i
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,459.96,464.16,KCHI,d ɑ d ɑ l ɑ l ɑ l ɑ o n ə n u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,467.0,467.66,KCHI,w ʊ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,471.48,473.28,KCHI,w ə s æ m ə t r i s
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,478.38,479.54,KCHI,θ i k j u
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,481.58,482.42,KCHI,m ɑ ɪ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,487.64,488.16,KCHI,w ʊ s
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,488.32,489.54,KCHI,w ɛ æ
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,492.5,492.76,KCHI,n
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,502.04,504.2,KCHI,l ʊ f i m a b l ɪ ɡ ə
alex_020810__4ba35d3eb75496cb6832b223633c7a1a.wav,505.46,509.44,KCHI,w ə f e s m a ɪ w i h w ɪ s m ɑ
