filename,onset,offset,speaker,phonemes
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,0.0,2.3,KCHI,ə d æ t w ʌ s d æ t
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,2.62,3.54,KCHI,w ʌ s ð æ t
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,5.36,6.12,KCHI,m ɛ n ə
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,6.38,7.24,KCHI,m æ n ə
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,7.96,10.1,KCHI,a ɪ h ɛ n i n o h ɛ n i
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,14.74,15.92,KCHI,ð ɪ m a ɪ t ʃ r æ k
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,21.18,23.34,KCHI,n o d ɛ ɪ k l i n ɪ t
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,23.88,25.24,KCHI,k ə l i d o m a ɪ m ɛ s
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,40.94,41.7,KCHI,j u t w e ɪ
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,42.36,43.08,KCHI,s ɛ k o
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,45.4,46.38,KCHI,o p a ɪ j o
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,46.88,47.76,KCHI,a ɪ s ɪ s ɛ
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,47.98,49.96,KCHI,æ ɪ t ɪ s ə f ʊ l i
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,51.24,52.72,KCHI,o a ɪ d ɛ l ɪ t
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,54.34,59.5,KCHI,o m a d ə f ɪ s o m a i ɪ z l ɪ d o l ɪ w ɪ s o m a ɪ t ʃ r æ
alex_021011__0632e043fa4cc14d0ec745110caa00ee.wav,63.86,65.92,KCHI,l ɪ s p i s o ə d ɛ ə
