filename,onset,offset,speaker,phonemes
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1.52,2.28,KCHI,o p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,4.06,5.74,KCHI,w e d o b o m e ɪ k ɪ i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,6.46,7.02,KCHI,j ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,8.66,9.28,KCHI,ɡ r ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,10.68,11.28,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,12.1,13.34,KCHI,f ʌ l i p ʊ ɾ o d ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,20.8,22.0,KCHI,e p o v ə n ɪ s w ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,27.56,30.32,KCHI,ə d ə z ɑ n d æ t ə t i v i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,55.0,56.92,KCHI,i i ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,57.3,58.18,KCHI,h æ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,59.8,61.84,KCHI,ð ɪ s p i s p i p i z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,62.4,63.62,KCHI,p i s ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,68.12,69.98,KCHI,o w ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,70.8,71.46,KCHI,i w a ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,79.6,80.42,KCHI,m e ɡ ɪ s ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,105.74,106.74,KCHI,ð ɪ z ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,124.74,125.44,KCHI,ʌ m ə l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,128.64,129.84,KCHI,ɪ t s d ɛ z ɪ z ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,132.06,134.16,KCHI,d ɪ s d ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,134.5,135.68,KCHI,d ɪ s ə b u ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,148.5,150.4,KCHI,n o ɛ u l ɪ u
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,152.02,155.82,KCHI,n o n o n ə m e ɪ k ə s æ d p l i z m e ɪ t æ d
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,162.12,162.84,KCHI,d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,167.38,168.34,KCHI,h ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,191.7,194.76,KCHI,n o n o l i d ɪ s w ə b i s w ɑ l ə b i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,199.34,199.82,KCHI,d ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,202.58,203.4,KCHI,p l i s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,211.66,212.66,KCHI,d ɪ s ʊ k o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,213.16,214.42,KCHI,d ɪ s ɪ s ʊ k o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,216.18,217.54,KCHI,d ɪ s ɪ s ɪ k o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,221.28,222.58,KCHI,ð ɪ s m a p e ɪ s w i s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,228.7,229.7,KCHI,d ɪ ɪ z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,231.94,232.78,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,233.28,234.02,KCHI,ɑ ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,235.36,236.72,KCHI,d i ɪ s l a ɪ f æ n ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,244.78,246.7,KCHI,d ɛ l ə d u s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,263.48,264.22,KCHI,w o ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,270.64,271.16,KCHI,t i d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,273.64,275.72,KCHI,w ʌ z ɪ z ɪ i d u w ɔ t ʃ ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,277.44,278.34,KCHI,ɪ w ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,278.6,279.36,KCHI,l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,283.98,284.72,KCHI,m ɑ w ɑ ʃ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,300.92,301.96,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,307.14,309.32,KCHI,w ɛ s h æ b i f e ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,319.88,323.16,KCHI,ʊ l ʊ k ə d ɑ t ə b ɛ s ʊ r k ə n ɪ z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,332.5,335.86,KCHI,a d æ z ə ɛ n ɪ d ə s s æ ɾ o v ə d ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,336.14,337.72,KCHI,ð ɪ s t æ d o v ə d ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,339.5,343.44,KCHI,w ə l ɪ t i ə s p l i z ə l a ɪ l ɪ d o t i ə z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,353.16,354.62,KCHI,n o w ɪ m a b o f
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,357.7,359.2,KCHI,w ɛ z ə b u b u
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,362.0,363.44,KCHI,n o n o d d ə l
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,363.66,363.94,KCHI,d ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,366.94,368.38,KCHI,h æ p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,371.06,375.38,KCHI,w ɡ w i h e ɡ w i w ə h e ɡ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,375.56,377.26,KCHI,e ɪ w i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,379.5,380.18,KCHI,h ə z ɪ z ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,381.22,382.62,KCHI,h æ p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,386.06,393.0,KCHI,h æ p i n o n o w ʊ s h æ p i w ʊ s æ p i ɪ z o v ə ɾ ɪ h æ p i z o v ə d ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,394.02,394.62,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,400.6,401.98,KCHI,k w i ɪ z ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,404.06,404.82,KCHI,ʃ ɛ z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,408.28,409.84,KCHI,ð æ s ɑ m ə ʃ ɪ k ʊ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,411.2,412.48,KCHI,ɑ ð æ t s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,413.92,415.02,KCHI,ə z i ɡ ə t ʃ ʊ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,426.18,427.28,KCHI,h ə f e ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,429.14,429.84,KCHI,d æ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,432.0,432.88,KCHI,p ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,433.66,434.26,KCHI,h h æ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,441.86,442.88,KCHI,h ɛ t s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,443.52,445.0,KCHI,θ ʌ m
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,446.28,448.02,KCHI,ɛ s a
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,448.52,449.32,KCHI,w ə s æ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,454.08,454.9,KCHI,ʃ ʌ i z
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,458.96,460.28,KCHI,ʃ ʌ f ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,462.32,463.84,KCHI,w ə s æ m ɑ w ə s ð æ t
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,469.0,470.44,KCHI,ð æ t m ɑ m ə ð æ t
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,474.2,474.86,KCHI,h e ɪ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,478.3,478.88,KCHI,h u s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,482.58,483.06,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,483.28,484.82,KCHI,ə b ɪ ɡ w ʌ n ʌ p
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,485.7,486.5,KCHI,ʌ w ə ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,490.56,490.98,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,491.9,492.9,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,497.96,498.8,KCHI,u
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,500.62,504.1,KCHI,ə b ɪ m ɑ i m e o d ʒ ɑ t ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,505.2,506.7,KCHI,b ɪ t ʃ w a ɪ ɡ o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,509.44,509.92,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,510.12,512.96,KCHI,n o h d ɛ z ə b ɪ s t ʊ k o f
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,514.64,517.16,KCHI,ə d ɛ s o v o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,521.38,522.02,KCHI,v o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,523.84,526.86,KCHI,d ɪ s o b ɪ o v o ɛ n ə d ʒ ɑ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,533.82,535.0,KCHI,ð ə s k e ɪ w ɪ k i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,535.26,536.42,KCHI,u m ɑ w ɪ s r i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,547.78,549.48,KCHI,m ɪ n b l u
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,551.46,552.5,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,556.64,557.66,KCHI,b ɪ l ɛ d ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,577.74,580.68,KCHI,l ʊ ɡ ə v i i z i i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,584.6,585.06,KCHI,h i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,588.14,589.04,KCHI,ə l u
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,605.56,606.12,KCHI,j ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,607.98,609.04,KCHI,ə b ɪ ɡ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,609.64,611.4,KCHI,ə w ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,612.04,613.26,KCHI,b j o t t ʃ ɪ n
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,616.9,617.68,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,634.28,635.54,KCHI,t ɛ l ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,638.3,642.12,KCHI,d ɛ d o d o l ʊ l ʊ d æ t ə ə ʃ ɑ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,646.62,647.5,KCHI,ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,653.6,656.28,KCHI,ə d ʒ ɛ f ɪ ʃ ɛ z ə b ɛ d ʃ ɑ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,656.7,657.38,KCHI,b ɪ ʃ ɑ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,663.44,664.66,KCHI,ʃ i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,671.9,673.02,KCHI,n ʌ ɑ b ɪ t ʃ ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,679.48,680.58,KCHI,ɛ o j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,696.5,697.5,KCHI,w ʌ s ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,701.08,703.06,KCHI,h ɛ p ə t e
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,714.88,715.5,KCHI,l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,723.18,723.98,KCHI,t a ɪ ɡ o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,726.36,727.12,KCHI,s k w i ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,751.5,752.5,KCHI,t ɛ l ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,753.46,755.16,KCHI,d æ s o p w a ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,756.28,757.16,KCHI,ɛ s ɛ ð æ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,761.14,761.78,KCHI,l ʊ k s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,773.08,774.32,KCHI,d æ t
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,775.46,776.62,KCHI,ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,777.66,780.08,KCHI,ə l ʌ ɡ ə l ʌ ɡ ə ə b ɪ ɡ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,780.56,781.96,KCHI,f l a ʊ w ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,784.44,784.82,KCHI,w ʌ z ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,796.5,797.56,KCHI,w ʌ s ə w i v e
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,800.54,801.7,KCHI,b a ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,810.22,811.48,KCHI,l ʊ k m ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,815.9,817.0,KCHI,d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,833.84,834.68,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,835.84,836.6,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,845.1,846.32,KCHI,j ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,847.54,848.24,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,852.72,853.92,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,858.32,858.7,KCHI,ɡ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,858.82,859.0,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,859.5,859.68,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,864.66,865.76,KCHI,ə m ɑ l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,874.74,876.22,KCHI,m a b ɪ f l a ʊ w ə
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,878.54,879.3,KCHI,w ʌ z ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,889.98,891.04,KCHI,w ʌ s d æ t
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,892.66,895.8,KCHI,m ɑ m i ə ə s æ d ɪ z ə t i s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,898.8,899.48,KCHI,ə z ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,911.42,912.48,KCHI,k w ɑ l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,929.0,929.8,KCHI,l ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,931.4,932.44,KCHI,h æ p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,932.56,934.1,KCHI,d ɛ s m e ɪ m i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,958.52,959.18,KCHI,w ʊ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,964.76,965.54,KCHI,j ɛ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,996.16,997.04,KCHI,s w ʌ n
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1017.44,1018.88,KCHI,t u d u t u d u d u d
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1023.64,1025.16,KCHI,s i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1026.7,1027.36,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1027.86,1029.16,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1030.98,1031.84,KCHI,a ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1034.12,1034.26,KCHI,d ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1041.16,1041.96,KCHI,t i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1048.14,1050.36,KCHI,n ʌ n ə d ʒ a ɪ s ʌ p d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1051.86,1053.56,KCHI,n ɛ ə t r a ɪ d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1054.7,1056.66,KCHI,n o d ɪ s w ʌ n
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1058.4,1059.1,KCHI,n o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1060.48,1061.98,KCHI,d ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1068.34,1069.5,KCHI,ʊ d a d ɪ s
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1074.6,1075.9,KCHI,d o d æ t
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1082.58,1083.42,KCHI,h æ p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1086.54,1087.26,KCHI,ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1093.02,1095.2,KCHI,n o t w a ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1097.04,1098.48,KCHI,d e w i ʌ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1099.32,1100.36,KCHI,p i
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1103.18,1103.88,KCHI,n ʌ k
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1104.24,1104.84,KCHI,n ɑ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1109.02,1109.46,KCHI,n o
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1132.7,1134.86,KCHI,m a ɪ m e ɪ k ə b ɪ k e ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1136.1,1137.08,KCHI,m ə b ɪ ɡ e ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1143.74,1144.46,KCHI,
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1146.28,1147.76,KCHI,m ə l ɛ z ə b ɪ e ɪ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1151.48,1153.48,KCHI,n o a p e ɪ ɡ ɛ o v ə d ɛ
alex_030103__6944786c23ce4a076c4e725679e4fcb1.wav,1154.76,1155.12,KCHI,ɛ
