filename,onset,offset,speaker,phonemes
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,6.04,6.5,KCHI,n ʊ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,23.88,24.36,KCHI,j ɛ s
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,37.56,39.66,KCHI,m ə h i z m a w ə p l e ɪ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,50.02,52.8,KCHI,l ʊ ɡ ɪ z ə f i ɪ s l a w ɪ l ə ɡ o
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,59.16,59.7,KCHI,ɛ s ɡ o l ə
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,75.62,77.52,KCHI,j ɛ s w ʌ w ə
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,78.4,79.6,KCHI,s i k ɪ n
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,80.12,80.48,KCHI,m e
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,85.36,86.44,KCHI,ə w ɛ n n o
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,89.46,90.56,KCHI,h u ɛ d ə
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,95.52,96.08,KCHI,d o
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,100.24,103.06,KCHI,a ɪ ə k a d u
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,103.54,106.02,KCHI,m ʌ m o m o i
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,109.92,112.1,KCHI,o d æ t s ə t r ʌ t ʃ ɪ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,114.76,117.04,KCHI,w i ə w a ɪ z u z b o
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,117.8,118.72,KCHI,m ɛ ə b ɑ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,118.94,119.4,KCHI,
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,121.12,123.36,KCHI,ʊ ə ɡ w æ f ɑ m
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,124.74,127.06,KCHI,d ɛ l ɛ s b ʌ l ʊ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,127.92,131.18,KCHI,w ʌ d ə t ʃ ɪ k ə ɡ o d ɛ d ə w ɑ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,131.34,131.84,KCHI,l e ɪ
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,133.2,134.66,KCHI,ɛ n ʌ ə
alex_030214__16291b8f60486c7a8b5f7747c3a8897c.wav,139.7,140.8,KCHI,
