filename,onset,offset,speaker,phonemes
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,0.0,1.36,KCHI,d i j u r æ v
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,5.3,5.84,KCHI,e a h
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,8.36,11.94,KCHI,ʌ m n o o o n o n o n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,12.94,19.9,KCHI,ʊ d ɛ l u d a ɪ d o ɑ t s ʌ k i t ɛ l i ə ɛ a ʃ ʌ a l i d ɪ z a ɪ i s a ɪ
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,20.26,21.34,KCHI,s o h i z ə
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,23.88,26.34,KCHI,a ɪ ɡ o t n e ɪ d i z
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,29.86,30.58,KCHI,ʃ ɪ s n ɪ s
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,30.96,31.84,KCHI,o s ɪ
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,34.0,35.82,KCHI,n o m ɑ m i n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,43.12,43.78,KCHI,n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,44.38,45.0,KCHI,n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,47.14,47.76,KCHI,n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,49.86,50.46,KCHI,
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,50.96,51.34,KCHI,n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,62.4,63.68,KCHI,a b i
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,65.4,66.12,KCHI,n o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,73.16,75.96,KCHI,ʌ m ɛ n ə t e ɪ b o
alex_030301__68b23887b775b3b6f464f3e639b53581.wav,77.68,82.98,KCHI,n o n o w j u ɡ o n ə d a n o w ʌ n ə t e r æ v ə n ɪ r ʌ m
