filename,onset,offset,speaker,phonemes
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2.72,3.98,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,32.64,33.42,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,35.82,36.58,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,495.66,496.28,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,664.1,664.3,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,676.3,676.6,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,764.38,765.32,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1046.74,1046.94,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1071.24,1071.78,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1083.52,1084.86,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1090.52,1091.08,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1163.98,1164.24,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1190.08,1190.5,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1206.3,1207.06,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1250.36,1250.86,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1312.4,1313.38,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1375.18,1375.32,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1520.7,1521.46,KCHI,θ w i
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1551.96,1552.2,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1623.84,1624.16,KCHI,d æ
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1815.22,1815.84,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,1844.18,1844.34,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2174.88,2175.6,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2230.26,2231.48,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2349.72,2350.28,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2401.68,2402.38,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2602.44,2602.58,KCHI,
cameron_AAE_B3_26_47_PE_S22__ef712e4ffa273009a64b849791a98189.wav,2732.46,2732.64,KCHI,
