filename,onset,offset,speaker,phonemes
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,16.06,17.04,KCHI,i ə w a
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,17.24,18.62,KCHI,w a
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,19.9,20.42,KCHI,m
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,23.88,24.96,KCHI,ə f w a
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,29.4,29.92,KCHI,l ʌ
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,30.54,31.84,KCHI,d ɔ n i
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,51.74,52.38,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,57.64,58.32,KCHI,i
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,64.48,65.1,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,68.08,70.7,KCHI,ʌ m ʌ m d ʌ m
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,89.5,90.02,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,123.38,123.6,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,125.52,126.76,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,130.8,132.5,KCHI,s ʌ m h æ s
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,148.52,149.06,KCHI,m i
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,153.18,153.9,KCHI,ɪ t
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,161.74,162.26,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,179.58,181.28,KCHI,p i
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,181.56,182.46,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,183.66,184.42,KCHI,h æ p i ɔ l
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,243.82,244.7,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,245.86,246.52,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,263.74,265.16,KCHI,w ɑ p ɪ
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,266.06,266.66,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,279.52,280.48,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,335.54,336.54,KCHI,d a ɪ l a ɪ
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,352.74,352.96,KCHI,
cameron_AAE_B5_37_59_PE_O22__41c06bbf0c0f5f8d711499f35fe3180b.wav,517.06,517.4,KCHI,
