filename,onset,offset,speaker,phonemes
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,19.98,21.32,KCHI,j
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,28.14,29.34,KCHI,
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,39.8,40.68,KCHI,p
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,84.68,86.4,KCHI,ə w ɑ t ʃ
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,91.02,91.54,KCHI,
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,119.7,120.6,KCHI,s
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,127.36,127.72,KCHI,r
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,137.44,139.3,KCHI,j æ
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,151.62,152.78,KCHI,ɪ j ɪ n
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,201.86,202.92,KCHI,f ɪ ŋ ə r
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,212.68,213.22,KCHI,ə
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,218.9,219.54,KCHI,f ɪ t
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,259.28,260.66,KCHI,ə d ʒ u w æ
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,262.94,263.42,KCHI,
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,283.34,283.68,KCHI,m a d i
cameron_AAE_B7_58_51_PE_N22__41ac7c67a22b8b7154e7c20bdd4e4a38.wav,347.84,348.62,KCHI,w i
