filename,onset,offset,speaker,phonemes
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,28.42,29.62,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,38.04,38.5,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,98.0,98.74,KCHI,ð e
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,133.14,133.52,KCHI,n ə t
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,154.48,155.22,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,199.0,199.16,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,214.3,214.74,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,258.7,259.12,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,272.04,273.0,KCHI,h i ɡ w ɑ k
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,289.32,289.66,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,290.54,291.2,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,322.38,322.9,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,327.12,327.9,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,426.04,427.58,KCHI,e n
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,446.3,447.1,KCHI,o
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,450.6,452.5,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,455.78,457.04,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,522.74,524.7,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,526.12,526.4,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,528.08,528.36,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,532.32,533.1,KCHI,o
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,579.52,580.58,KCHI,ŋ
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,581.3,581.82,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,595.64,596.58,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,612.92,613.16,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,613.94,614.82,KCHI,
cameron_SAE_B6_34_51_PE_O22__875b25b67a5df5a323487f2f3d36f93d.wav,619.96,620.88,KCHI,m
