filename,onset,offset,speaker,phonemes
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,19.9,20.1,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,39.68,39.8,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,45.42,45.58,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,47.76,49.44,KCHI,s o m ɛ n i
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,53.14,54.38,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,58.04,59.38,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,61.16,62.96,KCHI,b a ɪ d ʌ p i p ə
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,71.16,71.64,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,95.52,95.96,KCHI,z u
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,131.34,131.68,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,145.88,148.08,KCHI,t r a b ə r i z
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,163.18,163.44,KCHI,n
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,164.92,165.8,KCHI,f
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,166.98,167.16,KCHI,ɪ
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,180.62,181.4,KCHI,
cameron_SAE_B6_43_56_PE_O22__c090d986a9b1cdb0431bc2142707198e.wav,185.32,185.74,KCHI,
