filename,onset,offset,speaker,phonemes
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,27.08,27.38,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,70.2,70.9,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,204.2,205.48,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,216.32,216.76,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,306.76,307.4,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,523.64,524.58,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,747.08,748.14,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,802.8,803.32,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,833.38,834.44,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,877.16,877.92,KCHI,ə s e ɪ v ɪ z p ɑ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,982.18,983.06,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1025.02,1026.84,KCHI,w ʊ ɹ k
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1042.58,1042.76,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1072.28,1073.04,KCHI,t u ɡ o ɪ n ə b o ʊ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1099.5,1100.06,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1102.1,1102.46,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1127.38,1127.82,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1131.6,1133.58,KCHI,h ɛ l a ʊ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1134.3,1134.68,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1141.86,1142.26,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1143.04,1143.6,KCHI,ʊ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1166.14,1166.64,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1208.38,1208.88,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1238.0,1240.42,KCHI,d r ə m
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1245.4,1246.2,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1278.48,1279.28,KCHI,s o ʊ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1281.56,1284.22,KCHI,t z l a
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1288.48,1289.04,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1302.56,1302.94,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1314.48,1315.32,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1322.48,1324.16,KCHI,ə z i b r ə
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1330.94,1331.38,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1351.18,1352.38,KCHI,b ə r ʃ ɪ ŋ
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1389.02,1390.36,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1404.94,1406.4,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1409.0,1409.74,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1413.98,1414.94,KCHI,t i
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1419.8,1420.42,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1432.8,1433.22,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1525.78,1526.08,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1537.02,1537.44,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1565.42,1566.82,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1589.1,1589.72,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1610.32,1610.72,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1959.9,1960.96,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1963.3,1964.06,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1982.42,1983.14,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1986.02,1987.06,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,1989.0,1989.72,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,2020.18,2020.96,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,2033.06,2033.68,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,2142.3,2143.32,KCHI,
cameron_SAE_B6_44_59_PE_O22__bb07cc109aedc394105dc38640974696.wav,2195.68,2196.96,KCHI,ə
