filename,onset,offset,speaker,phonemes
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,59.54,59.7,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,225.9,226.86,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,278.6,278.88,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,746.68,747.02,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,811.92,812.3,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,846.72,846.82,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,965.44,966.66,KCHI,ʃ ə r
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1023.22,1024.02,KCHI,ə s ə ʃ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1034.3,1034.8,KCHI,ð æ h ɪ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1050.46,1050.72,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1120.46,1121.1,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1159.08,1159.66,KCHI,w ʌ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1499.22,1499.92,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1528.32,1528.58,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1733.7,1734.52,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1744.22,1744.96,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1764.7,1765.5,KCHI,ɡ ɪ n
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1776.76,1777.92,KCHI,d ə b ɹ ʌ d d ə
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1795.9,1796.74,KCHI,ɛ n ɪ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1834.82,1835.54,KCHI,ð ə ɡ ɑ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1863.64,1864.84,KCHI,d ɑ p ɪ n d ə ɹ b ɹ ə d ə ɹ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1869.26,1869.98,KCHI,l ə d a
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1875.24,1876.06,KCHI,æ
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,1982.04,1982.3,KCHI,
cameron_SAE_B7_61_54_PE_N22__3df39696f6b125a15f399fdf89121f25.wav,2193.96,2196.48,KCHI,
