filename,onset,offset,speaker,phonemes
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,8.66,8.8,KCHI,h
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,29.32,30.1,KCHI,t ɪ t
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,34.2,34.96,KCHI,ɪ k ɪ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,50.4,50.98,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,64.6,65.36,KCHI,b ɑ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,84.58,86.12,KCHI,ɑ h ɑ p
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,101.0,102.04,KCHI,ʌ t h æ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,110.6,111.86,KCHI,b ɑ p
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,129.98,130.4,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,131.9,132.54,KCHI,h a
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,150.34,151.22,KCHI,ʌ ʌ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,152.3,153.26,KCHI,m m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,158.5,159.2,KCHI,ʌ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,164.16,164.74,KCHI,m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,186.5,187.34,KCHI,ʌ h
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,192.1,192.8,KCHI,m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,194.44,195.02,KCHI,h ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,198.16,199.18,KCHI,ɛ h ɛ h ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,205.44,205.96,KCHI,m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,206.38,208.22,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,208.82,209.26,KCHI,m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,211.98,212.64,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,215.92,216.18,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,234.06,234.26,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,234.38,234.82,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,238.8,239.68,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,240.68,240.84,KCHI,o
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,245.08,245.7,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,245.92,246.62,KCHI,h
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,246.76,248.56,KCHI,h ɪ h ɪ h ʊ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,251.9,252.4,KCHI,æ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,281.74,282.14,KCHI,ʌ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,291.84,292.56,KCHI,ʊ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,293.7,294.06,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,298.8,299.48,KCHI,ʌ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,342.28,346.26,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,399.26,399.66,KCHI,ʌ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,404.34,405.4,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,405.96,406.56,KCHI,ɪ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,406.78,407.06,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,407.3,407.64,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,489.3,489.54,KCHI,ɡ o
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,496.56,497.12,KCHI,h ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,508.38,508.76,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,515.14,515.56,KCHI,æ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,525.2,525.36,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,526.92,527.78,KCHI,m
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,528.76,529.88,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,535.52,535.82,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,538.62,539.62,KCHI,ə w ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,547.18,547.42,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,547.54,547.66,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,549.24,550.58,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,552.7,552.88,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,554.5,554.82,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,560.5,561.16,KCHI,
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,561.46,562.0,KCHI,ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,562.36,563.44,KCHI,h ɛ ɛ
ethan_001121__5f64a2ae97ec60a107ce6f65eb11e86b.wav,563.58,564.26,KCHI,ɛ h
