filename,onset,offset,speaker,phonemes
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,0.24,1.0,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,9.94,10.64,KCHI,t i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,12.38,13.04,KCHI,t i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,15.92,16.58,KCHI,d æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,21.7,21.98,KCHI,b æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,23.18,23.68,KCHI,h
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,23.88,24.3,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,25.56,26.14,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,32.92,34.2,KCHI,æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,34.64,35.82,KCHI,ɛ p æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,39.04,39.68,KCHI,b æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,41.72,43.56,KCHI,ʌ ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,43.78,44.38,KCHI,o
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,49.14,49.66,KCHI,h ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,51.78,53.86,KCHI,h ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,55.72,56.1,KCHI,h ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,65.86,67.66,KCHI,h ɛ ɪ e ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,71.64,72.2,KCHI,
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,78.6,79.54,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,99.06,100.0,KCHI,ɛ b ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,100.44,101.54,KCHI,m ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,115.74,116.72,KCHI,m ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,121.76,122.4,KCHI,n o
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,131.8,133.3,KCHI,ɛ m i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,137.06,137.92,KCHI,b ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,143.28,143.8,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,144.58,145.22,KCHI,b ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,148.92,149.36,KCHI,
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,152.96,153.48,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,156.44,157.3,KCHI,s ɪ d æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,163.42,163.96,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,176.86,177.64,KCHI,e
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,178.58,179.1,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,181.08,182.12,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,196.22,196.48,KCHI,j æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,207.02,207.4,KCHI,d ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,209.5,209.98,KCHI,b ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,215.4,215.86,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,217.3,217.92,KCHI,ɡ w ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,218.9,219.46,KCHI,
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,252.74,253.92,KCHI,b ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,258.7,259.8,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,271.88,272.76,KCHI,b ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,273.42,273.94,KCHI,b i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,277.38,278.02,KCHI,b i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,284.74,285.54,KCHI,d ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,286.72,287.44,KCHI,b e ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,299.44,300.12,KCHI,b ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,300.94,301.62,KCHI,b ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,302.36,302.48,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,303.48,305.36,KCHI,ʌ k ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,308.36,309.4,KCHI,ʊ b i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,325.1,325.62,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,330.34,330.56,KCHI,
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,378.58,379.36,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,386.98,387.6,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,400.86,401.24,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,402.42,404.28,KCHI,ɪ ʌ k ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,432.7,433.12,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,438.28,439.24,KCHI,
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,440.28,441.24,KCHI,ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,451.82,453.34,KCHI,ʌ d ɪ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,453.98,454.42,KCHI,m i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,460.62,462.64,KCHI,d ɑ d i
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,469.64,470.14,KCHI,k ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,475.22,476.44,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,477.1,477.6,KCHI,l ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,480.64,481.78,KCHI,h ɛ l ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,565.8,567.1,KCHI,d e ɪ d e
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,578.12,579.04,KCHI,h ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,583.16,584.0,KCHI,b ʌ k
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,588.88,589.04,KCHI,m
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,590.22,590.66,KCHI,b ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,603.52,604.34,KCHI,b ʌ k
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,611.82,612.74,KCHI,b ʌ k
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,617.26,617.78,KCHI,b ʊ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,619.86,620.48,KCHI,æ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,621.18,621.92,KCHI,p ʊ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,628.5,630.26,KCHI,ʌ ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,631.48,632.8,KCHI,b ʊ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,633.28,634.02,KCHI,b ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,641.38,642.56,KCHI,ɡ ɑ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,645.1,645.8,KCHI,m
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,646.94,647.58,KCHI,ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,660.68,664.66,KCHI,w u
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,665.4,665.94,KCHI,b ɛ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,668.72,670.42,KCHI,ʌ ʌ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,684.86,686.06,KCHI,æ p
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,691.5,692.52,KCHI,b u b ʊ
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,713.08,714.3,KCHI,æ p o
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,718.96,719.4,KCHI,m
ethan_010105__701be1fc39c7d57da07312dbeef69810.wav,728.34,729.64,KCHI,ʌ ʌ
