filename,onset,offset,speaker,phonemes
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,8.44,9.08,KCHI,v ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,9.86,10.78,KCHI,b æ b ɛ ɪ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,19.46,19.84,KCHI,m
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,35.48,35.82,KCHI,p
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,38.44,39.44,KCHI,b ʌ b u
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,41.82,42.32,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,53.96,54.66,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,55.26,55.72,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,57.36,58.22,KCHI,ʌ h ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,63.8,65.02,KCHI,h ɛ b ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,65.3,66.56,KCHI,h ɛ b ʌ b u
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,68.62,69.08,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,82.4,82.72,KCHI,
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,83.58,84.08,KCHI,b ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,88.0,88.88,KCHI,b ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,100.48,101.58,KCHI,b ʌ b u
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,103.3,103.84,KCHI,m
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,105.04,106.18,KCHI,b ɑ b ʌ b
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,107.46,107.6,KCHI,
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,110.0,111.74,KCHI,b ɑ b ɑ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,123.0,123.76,KCHI,b æ b ɑ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,148.88,149.56,KCHI,b ɑ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,159.2,159.48,KCHI,
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,167.68,168.26,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,169.2,169.84,KCHI,h ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,181.28,182.36,KCHI,b æ b ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,187.06,187.54,KCHI,ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,196.18,197.1,KCHI,æ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,200.6,201.1,KCHI,ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,202.5,202.98,KCHI,ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,204.9,205.46,KCHI,d ɪ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,206.48,207.28,KCHI,b ɑ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,209.54,209.84,KCHI,
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,211.02,212.18,KCHI,h ʌ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,217.06,217.76,KCHI,h a ɪ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,220.58,221.58,KCHI,ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,222.18,222.74,KCHI,a ɪ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,224.68,225.24,KCHI,e
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,226.86,227.88,KCHI,ɛ
ethan_010117__aae50ecfede046efe380e86b102ea88d.wav,230.2,230.92,KCHI,h a ɪ
