filename,onset,offset,speaker,phonemes
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,20.08,20.22,KCHI,ɛ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,38.96,39.54,KCHI,b ʊ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,43.54,45.48,KCHI,m ɔ ɑ p i
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,46.56,47.46,KCHI,ɑ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,47.76,49.18,KCHI,ɑ m
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,58.16,59.12,KCHI,s i ɡ ə
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,59.7,60.28,KCHI,d o s
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,61.34,61.92,KCHI,ɛ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,62.48,64.7,KCHI,l o ə w ɑ d ə
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,65.16,67.04,KCHI,m ʌ d ʌ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,82.88,83.46,KCHI,b e
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,83.58,83.92,KCHI,k
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,91.3,92.28,KCHI,b ɛ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,94.54,95.16,KCHI,m
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,97.8,99.18,KCHI,o b ɛ ʌ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,99.84,100.54,KCHI,n ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,102.18,102.88,KCHI,n i
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,105.4,106.66,KCHI,b ɪ k
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,112.64,113.52,KCHI,b a ʊ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,116.62,117.7,KCHI,n ə e
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,119.0,120.1,KCHI,ʌ b ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,120.94,121.1,KCHI,n ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,125.72,126.28,KCHI,l ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,129.34,130.64,KCHI,l e l ə
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,131.34,132.36,KCHI,p o l ə
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,135.32,135.98,KCHI,a ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,148.92,149.7,KCHI,b ʌ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,149.98,150.98,KCHI,w æ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,152.9,153.54,KCHI,n ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,153.92,154.56,KCHI,n ɛ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,166.68,167.88,KCHI,ʌ d ʌ n
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,170.72,171.74,KCHI,ɛ w ʌ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,172.94,173.64,KCHI,ʌ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,175.8,176.64,KCHI,w a
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,179.1,180.34,KCHI,ʌ ɪ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,181.28,182.46,KCHI,b ɪ ŋ
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,184.32,187.06,KCHI,n o s ɛ ɪ t o
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,187.58,188.94,KCHI,n a d i t o
ethan_010602__15d080fcb961463a16db2858520e91ff.wav,190.06,190.92,KCHI,j ʌ
