filename,onset,offset,speaker,phonemes
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,6.52,7.0,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,7.12,7.68,KCHI,e ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,9.72,11.16,KCHI,ɔ ɪ a ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,18.34,18.98,KCHI,h æ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,21.6,22.66,KCHI,b l ɑ k
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,35.96,36.26,KCHI,d i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,46.04,47.32,KCHI,d a n
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,55.92,56.66,KCHI,d w i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,64.9,66.32,KCHI,ə k o w ɪ ŋ ɡ ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,69.54,71.58,KCHI,ɛ n b æ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,73.74,76.22,KCHI,b æ d ə w i b æ d ə w i b æ d ə w e ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,80.08,81.18,KCHI,b æ d ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,83.58,84.48,KCHI,
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,85.06,87.02,KCHI,m ɛ t ə w i b æ d ə w i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,87.7,88.52,KCHI,w i b æ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,89.46,90.4,KCHI,d o i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,93.46,94.1,KCHI,æ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,114.1,114.66,KCHI,t ɔ ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,115.1,115.8,KCHI,t a
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,121.18,121.58,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,121.76,122.12,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,125.76,126.32,KCHI,ɛ n ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,132.46,133.26,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,137.88,138.54,KCHI,e ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,165.08,165.96,KCHI,ʊ p ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,166.62,167.08,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,169.9,170.64,KCHI,h a ʊ s
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,172.4,173.32,KCHI,ʌ m ɪ n
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,175.94,179.16,KCHI,d ɪ s t a ɪ d ɪ s t a ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,179.72,180.94,KCHI,d ɪ s t a ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,181.92,182.58,KCHI,t u p
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,183.08,183.58,KCHI,h u
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,185.98,186.54,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,190.6,191.04,KCHI,s i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,198.54,200.92,KCHI,w ʌ d ɪ w ɑ d ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,204.3,205.1,KCHI,w ʌ d ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,205.9,207.14,KCHI,w ʌ d ɪ b ɔ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,215.6,216.6,KCHI,w ʌ d ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,222.9,223.7,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,223.92,224.84,KCHI,h u p
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,224.96,226.06,KCHI,w ʌ d ʊ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,226.3,227.02,KCHI,w ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,227.4,228.66,KCHI,ə w ʌ d ə
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,234.82,236.5,KCHI,p æ p ɑ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,237.96,238.6,KCHI,ɛ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,239.28,241.54,KCHI,b æ d u b æ d u i
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,252.12,252.7,KCHI,o
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,253.38,254.14,KCHI,ʌ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,255.0,255.54,KCHI,o
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,262.36,262.74,KCHI,h a
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,263.46,263.98,KCHI,h a ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,264.88,265.58,KCHI,a
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,266.66,267.4,KCHI,m a ɪ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,272.12,272.72,KCHI,b ʌ n
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,296.18,297.38,KCHI,ʌ n ɛ
ethan_010700__9367f1a5f6fa342eb69667f944a4974e.wav,323.06,323.62,KCHI,d ʌ
