filename,onset,offset,speaker,phonemes
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,1.18,1.84,KCHI,b ʌ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,19.9,21.46,KCHI,l a ɪ s ɪ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,24.1,25.5,KCHI,w ɪ e v ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,26.2,26.72,KCHI,t ɪ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,27.86,28.88,KCHI,e w ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,35.82,38.54,KCHI,b ʊ d æ b ʌ j ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,42.26,43.7,KCHI,j ʊ j ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,46.78,47.74,KCHI,j ʌ t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,47.84,49.74,KCHI,j ʌ s j ʌ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,52.28,53.26,KCHI,w i w ɪ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,56.14,57.22,KCHI,n ə b ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,59.0,59.7,KCHI,ə b ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,62.98,64.84,KCHI,ɑ n k ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,67.66,70.52,KCHI,a ʊ k ɑ b u k ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,82.56,83.68,KCHI,ʒ o m i
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,84.44,85.94,KCHI,j æ ɪ j o s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,95.04,96.06,KCHI,ə d a ʊ n
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,99.66,103.48,KCHI,h a ʊ s h a ʊ s ə w ʌ ə h a ʊ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,104.48,106.76,KCHI,e w ɑ h a s ɛ a ɪ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,107.46,108.78,KCHI,h a ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,110.36,113.14,KCHI,ʌ a
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,121.04,122.28,KCHI,a ɪ d a ʊ ʌ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,123.06,123.38,KCHI,w ɛ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,130.04,131.8,KCHI,d ɛ s a ʊ k l e ɪ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,132.54,133.16,KCHI,l ʌ f t
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,133.82,134.38,KCHI,j ʊ f
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,136.74,137.48,KCHI,ʃ i
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,145.94,150.68,KCHI,s a ɪ k ɪ t ə ɡ o w ɑ d ʒ ɐ̃ k o t e ɪ k ɪ h ʊ d æ k ə
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,156.8,157.48,KCHI,d ʌ t
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,166.08,166.9,KCHI,a l ʌ b ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,179.1,182.66,KCHI,o k ɛ b o k ɛ n
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,183.08,184.38,KCHI,ɛ b r o k ɛ n
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,185.78,186.5,KCHI,h ɪ k s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,192.26,192.96,KCHI,b ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,193.08,194.44,KCHI,k u z a ɪ w ə
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,195.18,195.98,KCHI,w ʌ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,197.14,197.7,KCHI,ɡ u
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,199.52,201.5,KCHI,ʌ w a ʊ t
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,202.02,202.98,KCHI,w o k ɛ n
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,210.94,212.6,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,212.98,214.58,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,219.8,220.68,KCHI,b o d ʌ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,221.42,222.1,KCHI,b ʌ k
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,223.38,223.66,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,225.54,227.1,KCHI,t ʌ p ə l i d æ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,230.94,232.04,KCHI,h e ɪ m ɛ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,234.48,234.82,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,244.04,244.76,KCHI,a ɪ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,247.0,248.36,KCHI,ʌ ʌ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,251.56,252.38,KCHI,ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,253.04,253.7,KCHI,æ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,256.86,257.9,KCHI,æ l ə n t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,258.44,259.12,KCHI,ɛ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,261.52,262.94,KCHI,n a ʊ ɪ t j ɔ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,265.54,266.16,KCHI,j ʌ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,268.28,269.48,KCHI,ɪ t s j ʌ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,271.52,272.54,KCHI,ɛ j ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,274.42,274.96,KCHI,j ʌ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,275.68,276.68,KCHI,ɪ s j ɑ s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,279.54,280.86,KCHI,ɪ d ɪ w ɛ n s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,286.12,287.46,KCHI,ɪ d ɪ v ɪ n s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,289.78,291.38,KCHI,n o ɪ s n ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,295.88,296.66,KCHI,h æ m ə
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,299.98,300.44,KCHI,s a ɪ w ə
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,318.32,318.6,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,321.24,322.04,KCHI,æ t
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,322.38,323.54,KCHI,w ʌ t
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,330.18,330.34,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,335.6,336.46,KCHI,s ɑ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,341.46,342.28,KCHI,b ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,347.16,347.76,KCHI,h a ʊ
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,362.58,363.3,KCHI,
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,373.16,373.76,KCHI,k l ɛ p
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,374.88,375.76,KCHI,k l ɛ t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,375.96,377.18,KCHI,k l ɛ t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,377.34,378.1,KCHI,k l ɛ t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,378.58,379.32,KCHI,k l ɛ t s
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,384.38,385.62,KCHI,ɪ d ʌ n
ethan_010714__9a8d5c98d4c418c8600d917b335ab50e.wav,396.7,400.34,KCHI,k l ɪ f l ɪ k k l ɪ ɪ d ʌ n
