filename,onset,offset,speaker,phonemes
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,0.0,3.38,KCHI,ɛ ɪ w i ə n u d ʌ s
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,4.96,7.5,KCHI,æ n ə ɡ ʌ j u k ʌ p n u d ə s
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,9.68,11.2,KCHI,k ʌ p ə n u d ə
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,24.92,25.6,KCHI,u n ə
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,42.7,44.7,KCHI,o k ə z j u w i n u l ə s
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,47.0,47.76,KCHI,n
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,51.74,53.68,KCHI,ɐ̃ n
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,63.68,67.5,KCHI,n n o b ʌ n ʌ p i s
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,67.9,69.7,KCHI,ɪ s n ʌ ə p i s
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,75.52,78.38,KCHI,b w ʌ t ɑ l ə ə m p i d ɪ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,91.54,92.0,KCHI,
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,97.02,97.8,KCHI,ʌ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,101.02,104.3,KCHI,ʌ b j u f ɪ l ə ʒ ə w ɛ w ʌ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,112.5,113.54,KCHI,d ɛ n
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,113.7,114.84,KCHI,n o n o
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,116.98,119.14,KCHI,n ɪ t ʃ ʊ k ɪ ɑ ə
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,124.22,124.86,KCHI,d u
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,134.26,136.72,KCHI,n ə b ʊ f n o w e w ɑ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,146.5,147.72,KCHI,d ə w ɛ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,149.8,152.42,KCHI,ʌ ɡ w i ə
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,153.24,154.34,KCHI,ʌ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,155.48,156.52,KCHI,h ʌ f ɪ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,158.2,158.98,KCHI,ɡ w i
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,160.24,161.18,KCHI,ɛ
ethan_011110__1c50f6edc696fa7db1f3166dae223561.wav,171.14,172.98,KCHI,ʌ i ɪ
