filename,onset,offset,speaker,phonemes
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,10.4,10.7,KCHI,l e ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,33.86,35.2,KCHI,d ɪ s l e ɪ j ʊ s
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,76.76,84.78,KCHI,l e ɪ n ɑ ɪ ɛ s ɛ s f i i e i i ɪ n t s
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,85.52,86.14,KCHI,w o w ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,95.52,96.54,KCHI,j ɪ h ɪ h ɑ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,100.1,101.04,KCHI,s e ɪ w ʌ n
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,101.9,104.2,KCHI,s e w ə s e ɪ m s i ŋ ə s
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,105.32,106.42,KCHI,t ɪ h ɛ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,106.96,107.8,KCHI,s i ŋ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,109.02,110.26,KCHI,ʃ e ɪ m p s e ɪ m
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,110.82,111.44,KCHI,s e ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,114.92,115.42,KCHI,a ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,116.08,117.66,KCHI,l u h æ w ə p ʌ k ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,122.1,123.7,KCHI,l i b l i d w ɑ ŋ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,128.2,129.7,KCHI,l i l i d w
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,133.46,135.32,KCHI,d ɪ w ʌ d ə w o b ə s a ʊ n s
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,135.66,137.14,KCHI,n d e ɪ ɡ ɛ d æ t
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,142.02,142.56,KCHI,s n e ɪ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,144.32,145.42,KCHI,d ə w o b ɑ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,156.92,158.2,KCHI,ʌ o m
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,162.06,163.18,KCHI,i h æ s
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,165.26,167.16,KCHI,i a ə e n
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,167.62,168.38,KCHI,ʌ
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,181.44,186.78,KCHI,d æ ɡ o d ɛ n d ɛ d ɪ d ɪ d ʌ d ə
ethan_020025__2c6d0b67d230e17f9990f9638e7b102a.wav,187.06,189.14,KCHI,n ə w e ɪ d æ d o s
