filename,onset,offset,speaker,phonemes
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,16.36,19.04,KCHI,ɪ s t ə ɑ d u l u d u l u
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,23.18,23.74,KCHI,d ʊ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,23.88,24.66,KCHI,b u m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,25.2,27.86,KCHI,m b u ŋ ŋ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,32.94,35.82,KCHI,s ɑ b ɛ j ʊ ɪ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,36.02,39.02,KCHI,d i j u w ɪ i
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,42.18,44.44,KCHI,ɪ f ʌ k ɪ s ʌ m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,45.22,46.1,KCHI,h ɪ d
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,46.3,49.12,KCHI,d ə h e j u m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,51.74,52.98,KCHI,ɡ ɪ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,53.24,53.88,KCHI,h e ɪ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,62.14,64.38,KCHI,k ə h i w ə s ɪ ɡ o ɪ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,73.44,74.44,KCHI,m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,75.62,76.48,KCHI,m m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,77.22,77.92,KCHI,h m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,79.6,80.2,KCHI,m
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,83.86,86.78,KCHI,m t w o t
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,87.4,87.54,KCHI,
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,88.32,90.12,KCHI,k ʌ i k ʌ j i h ɛ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,95.62,97.32,KCHI,ʌ ʌ h ʊ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,105.86,110.64,KCHI,ɛ ʌ h ɑ v i ə f ʌ m t u
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,112.94,117.04,KCHI,f ʊ ʌ s ɛ t u
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,118.78,119.2,KCHI,i
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,119.4,120.86,KCHI,ɪ s ɪ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,127.78,128.42,KCHI,w ʌ
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,131.98,133.54,KCHI,ɪ s l e ɪ k
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,134.54,135.32,KCHI,o
ethan_020122__7df93db0825e8c0e399fde4cd5c3405a.wav,137.68,139.3,KCHI,p i h e k s u
