filename,onset,offset,speaker,phonemes
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,17.18,18.44,KCHI,s a ɡ i
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,44.7,46.2,KCHI,ə t ɪ n o ɪ d ə
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,59.7,63.68,KCHI,s e m k ʌ l ə
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,68.62,69.62,KCHI,j o n e ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,93.9,94.62,KCHI,ɪ i ɑ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,104.7,105.36,KCHI,e ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,107.24,108.94,KCHI,e ɪ s i s t u w e
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,114.94,116.58,KCHI,w i z ə m i t ə w e ɡ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,145.62,146.82,KCHI,n o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,164.52,165.76,KCHI,z ɛ s
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,165.92,167.5,KCHI,ʌ n ə s o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,183.6,185.24,KCHI,o w ə j o j o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,189.68,190.4,KCHI,ə d u
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,219.1,219.88,KCHI,u d a ɪ w ə
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,222.88,226.14,KCHI,b a ɪ w ɑ s ʌ m s k u d v a ɪ l ɑ ɡ ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,226.86,227.36,KCHI,w a
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,249.72,250.54,KCHI,ɡ ɛ n ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,253.7,254.72,KCHI,d æ n
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,257.0,259.0,KCHI,w ɛ z ɪ z ə f l æ s w ɛ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,259.96,261.18,KCHI,s o n u d æ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,270.7,272.2,KCHI,a p ʊ d ɪ ʌ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,282.6,283.16,KCHI,ʌ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,285.36,286.4,KCHI,d ɪ ŋ ɡ o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,304.36,306.24,KCHI,ʌ p u
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,308.14,310.26,KCHI,n o m a n o w ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,310.44,311.26,KCHI,d ə w ɪ s ʊ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,313.58,314.28,KCHI,ɪ f ɪ k
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,314.42,316.18,KCHI,ɪ z ɡ o w ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,318.02,318.98,KCHI,o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,319.98,320.9,KCHI,
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,321.04,322.38,KCHI,n o
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,323.1,324.14,KCHI,p a ɪ s o ə z
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,324.66,325.42,KCHI,ɛ ɪ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,326.36,327.1,KCHI,n ə n ʌ
ethan_020402__dbcebb8fa1621369c3bb9fae11d93204.wav,328.8,329.08,KCHI,
