filename,onset,offset,speaker,phonemes
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,47.04,49.26,KCHI,d u s o b a ɪ w i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,64.28,66.34,KCHI,i j u l ə d ɪ f w ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,74.48,76.12,KCHI,j u l ə d ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,96.86,97.36,KCHI,h ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,107.92,109.78,KCHI,j ʊ ɡ o ɪ ŋ ɡ ə l æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,112.96,116.26,KCHI,s d ɛ s s e a ɪ d ʊ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,121.06,122.66,KCHI,a ɪ w ʌ s p ʊ s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,127.92,130.34,KCHI,a ɪ w ə s p ʊ s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,159.06,166.88,KCHI,j u s ʌ d ə w ə n b ɛ b i p i l ɪ k l e ɪ d ʊ z ə h a ɪ l a ɪ t r ʌ b ə s ə b ɛ s t ʌ v o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,183.82,185.72,KCHI,ɪ ə l ʊ ɡ ʌ n ə
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,191.04,192.92,KCHI,ʌ d æ f ɪ n t ʃ a ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,198.56,200.04,KCHI,m ʌ ɪ z ə b ɪ k
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,207.9,208.54,KCHI,ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,210.94,214.1,KCHI,æ w ʌ b u s ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,222.88,225.14,KCHI,j æ ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,238.92,239.8,KCHI,ɪ d i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,242.28,242.6,KCHI,h æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,242.82,242.92,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,243.06,244.3,KCHI,ə d æ h æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,245.86,247.06,KCHI,w ʌ d æ h æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,258.96,259.48,KCHI,s i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,270.64,270.94,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,274.3,276.98,KCHI,h i d æ i h æ i ɡ ə h æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,283.42,284.16,KCHI,n ʊ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,286.56,287.44,KCHI,n ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,291.7,292.14,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,292.54,294.52,KCHI,d i s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,295.3,296.98,KCHI,i s i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,297.56,299.2,KCHI,h i p w ʌ t æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,300.58,301.78,KCHI,l ɛ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,309.6,312.3,KCHI,d ʌ p j u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,317.02,318.4,KCHI,h i s ɛ d ʌ m p o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,332.72,333.82,KCHI,ɡ ʌ k ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,334.86,335.92,KCHI,ə b ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,346.26,348.26,KCHI,ɪ d o h æ s ɪ s p u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,358.64,364.46,KCHI,s ɛ ɪ b ɛ t w ʌ ʌ b ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,370.14,372.36,KCHI,ʌ p ʊ d ɪ s ɑ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,382.08,382.42,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,390.04,394.8,KCHI,l i l i l i ə f ɛ n
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,406.94,407.84,KCHI,i s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,408.2,409.5,KCHI,p ʊ l ɪ n
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,409.94,411.86,KCHI,m ə k
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,412.22,413.68,KCHI,u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,413.92,417.86,KCHI,d ɛ j ə n i d ʌ ɡ l ɪ s d u p ʊ s ɪ m o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,418.98,419.7,KCHI,w e i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,429.0,429.96,KCHI,d e w ə s d
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,435.08,436.48,KCHI,o s ɛ w ə
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,451.0,454.7,KCHI,o ʌ k i p ʊ s k ɪ n b æ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,461.68,463.76,KCHI,ɪ f t o b ʊ n s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,464.68,465.3,KCHI,f e ɪ s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,465.6,467.76,KCHI,ɡ ɑ s d a ʊ n ə k e ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,482.02,487.96,KCHI,ɪ j u ɪ n d u s t ɪ s d u s ʃ u s i s ʃ ɛ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,494.04,498.98,KCHI,æ w ɛ d ɪ s l i w ɛ d ɪ s l i p
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,499.48,500.08,KCHI,l o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,501.72,501.84,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,503.32,504.38,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,506.36,515.66,KCHI,ʌ z i ə ɪ ɪ d ɪ d i ə d ɪ ɛ d ɪ ɛ ɛ ɛ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,517.46,522.46,KCHI,d ɪ d ɪ n n d e ɪ ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,523.72,525.36,KCHI,ɪ l ə k s ɪ s l a ɪ ɡ ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,543.56,545.16,KCHI,j e ɪ d ʒ i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,547.02,547.82,KCHI,o k e ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,557.2,560.66,KCHI,s i u w ʊ k ɪ j ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,568.2,573.12,KCHI,s t ɪ s e ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,573.7,575.7,KCHI,w i u u u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,580.0,582.02,KCHI,u s d e o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,582.78,584.02,KCHI,t ɛ w ɪ t s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,597.14,598.14,KCHI,b e b i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,607.58,610.4,KCHI,ɪ ʃ w u k o b ʊ t
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,610.9,612.92,KCHI,b ɛ t i s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,615.86,618.26,KCHI,h i t ʊ k s ʌ m k o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,634.26,635.36,KCHI,ə d i s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,635.66,636.8,KCHI,s ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,636.92,638.64,KCHI,d æ d ɪ d i z o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,647.58,651.12,KCHI,w ʌ ʃ ɪ i n e ɪ m ɪ ə b o k o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,667.64,668.36,KCHI,d i
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,673.68,674.96,KCHI,p e s t ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,681.08,682.1,KCHI,d ʌ b ə l ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,684.56,693.26,KCHI,i t ə h i ə b ɪ s h i t ʊ k ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,696.84,699.88,KCHI,ɪ s s ɛ d ə d ʌ ɡ ɪ s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,712.44,715.12,KCHI,d i b u t i k
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,716.4,720.38,KCHI,ɪ s t ɪ ɛ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,728.88,730.72,KCHI,i t u k ɪ b ʌ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,734.32,741.1,KCHI,d ʊ l e ɪ d u h o a ɪ w ʌ n ɪ s ɛ d u b l ɪ s n o a ɪ w ʌ n ɪ t
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,753.64,755.28,KCHI,d ɪ n e ɪ t o b o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,768.14,771.7,KCHI,h u s b ɪ ɡ o ɪ n o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,782.74,784.06,KCHI,d ɪ i s
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,786.52,787.42,KCHI,m b u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,791.14,791.54,KCHI,
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,791.74,792.02,KCHI,s p u
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,792.96,793.78,KCHI,i j o
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,799.98,807.02,KCHI,u ɑ w e ɪ d ɪ s n i ɪ n h ʌ ɪ
ethan_020419__65cf56f8a968a59b3824d9023a5d6d1e.wav,808.8,809.28,KCHI,ʌ
