filename,onset,offset,speaker,phonemes
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,0.0,0.52,KCHI,d i
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,44.24,46.82,KCHI,d ʌ s l æ s m u s p e ɪ s
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,55.2,56.0,KCHI,m h m
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,60.78,63.06,KCHI,k i s k ʌ m ɪ ŋ a v ɛ l i
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,71.66,74.4,KCHI,i s k ɪ w ʌ f ɛ ɛ i
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,87.16,89.74,KCHI,h e ɪ p ɛ m s ɛ d a ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,97.52,99.34,KCHI,ɪ z t ɑ m ɪ s
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,99.5,100.42,KCHI,ʌ h ʌ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,105.02,106.56,KCHI,d o t e ɪ k ɪ ŋ ɡ o w ɛ s
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,109.28,111.4,KCHI,d o f ʊ d o w ɛ z
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,134.04,135.32,KCHI,d ɪ k ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,136.14,138.56,KCHI,ɪ w ɛ s t u w ə w e ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,150.6,154.48,KCHI,w i d ə n o s t o i w ɛ w ʌ m b u s t ɔ w i
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,192.98,194.5,KCHI,w a ɪ t
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,195.52,197.08,KCHI,d æ s w a ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,205.04,206.1,KCHI,w ɛ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,206.96,207.98,KCHI,l o
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,211.62,212.2,KCHI,ɛ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,233.5,235.02,KCHI,p e i s k w a ɪ ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,243.04,245.58,KCHI,a w ɛ f i ŋ s a ɪ k ɛ w ɪ
ethan_020526__f1f6e3f54ee630f344e596580ed80543.wav,259.42,262.36,KCHI,w ʌ m h ʌ w t e ɪ k ʌ f
