filename,onset,offset,speaker,phonemes
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,14.36,16.6,KCHI,j u w k ɔ k ɑ s
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,30.6,32.68,KCHI,j u w ə k ʊ k ɑ z
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,39.8,40.88,KCHI,ə m ə l ɑ u
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,52.96,53.9,KCHI,w ɪ s i
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,55.06,55.2,KCHI,
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,63.68,64.26,KCHI,d ɛ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,68.76,70.48,KCHI,d ɪ l ʌ m w ɪ s a ʊ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,71.64,73.56,KCHI,d æ s i w ʊ t u ɪ n
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,75.62,78.68,KCHI,i ɪ t w ʌ n z ɪ d ə w a ʊ z ə w e ɪ k w ʌ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,80.96,81.46,KCHI,ɛ s t
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,92.18,92.62,KCHI,d ɪ θ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,93.04,94.04,KCHI,d e
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,95.52,96.26,KCHI,
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,99.98,100.72,KCHI,d o s ʌ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,101.06,103.7,KCHI,n a w i s e ɪ s ʌ m d æ t ə b ɑ d ə m
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,109.1,109.48,KCHI,
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,111.12,111.24,KCHI,t
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,115.78,116.14,KCHI,
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,116.34,120.12,KCHI,d o ɪ s s t ʌ æ t ə t ɑ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,120.92,122.22,KCHI,i s t ʌ k
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,123.28,124.08,KCHI,i s p ɪ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,125.04,126.22,KCHI,w i h ə b a ʊ
ethan_020900__2ebfb5f32451ecf73221f5fc969e96c7.wav,129.46,131.28,KCHI,w ɛ w ɪ s l i
