filename,onset,offset,speaker,phonemes
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,0.12,0.78,KCHI,d ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,4.38,6.96,KCHI,d ɪ d u z u d u d u d ɪ d ʌ d ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,7.34,10.22,KCHI,ʊ d ə d ɪ d ɪ d u d u d ɪ d u d
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,11.94,13.56,KCHI,d ɪ d ə n ʌ d ə d u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,13.78,14.42,KCHI,ɛ d ʊ d u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,16.86,17.66,KCHI,ɛ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,21.06,21.64,KCHI,ɛ d ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,25.98,30.04,KCHI,ɪ n w ʌ ɪ ŋ ɑ n d ə w ʌ n w e ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,31.56,32.92,KCHI,ɪ s ɡ o n
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,39.9,44.0,KCHI,ɛ ɡ o ɪ w ɛ f æ t ʃ ə ɛ t e k ɑ f ɪ n d i ɛ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,49.68,51.5,KCHI,ɛ d ɪ d ə l u d ə l u p
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,52.94,54.48,KCHI,ɛ d d ɪ d ə l u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,56.2,57.92,KCHI,m a ɪ ð ɪ ŋ b u s a ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,58.74,58.84,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,59.84,62.62,KCHI,w u w z ʌ ʒ u m z u m d ɪ d ə z u m
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,64.42,67.66,KCHI,d ʌ ɪ ʒ u ɪ ŋ a ɪ b o s a ɪ m ɑ f e ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,71.44,71.86,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,76.8,77.26,KCHI,l ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,79.6,81.78,KCHI,d ɛ z ɛ t u ʌ n s ɪ f l a ɪ ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,82.94,84.74,KCHI,ɪ ð ə ɛ p l e ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,89.84,91.54,KCHI,d æ s t u b ə t ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,92.12,94.82,KCHI,ʌ n ɪ z ə ɛ f ɛ w ɪ z ə h ɛ p
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,102.6,103.48,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,104.24,107.32,KCHI,j ɛ d ɛ ð ə w ɛ ɪ z ɛ b l e h ɛ b a
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,110.08,112.68,KCHI,ɛ ð ɪ ɛ d ɪ d ə l u p d ə l u p
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,121.92,123.78,KCHI,d æ d ə ɡ ə n e ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,129.58,130.22,KCHI,k æ s ɪ s
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,135.0,138.14,KCHI,w ɛ s o w ɪ h ɑ d ɪ t i t ɛ l ə f t ʊ v
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,141.02,143.24,KCHI,a ɪ k ʊ a ɪ ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,145.3,147.26,KCHI,d æ t s u d a
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,147.48,149.38,KCHI,w ɛ ə b l u w ɛ n
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,151.24,153.14,KCHI,h a ʊ d ə d u l o d ɛ n u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,179.1,179.6,KCHI,ʒ u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,179.96,180.08,KCHI,k
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,180.46,182.9,KCHI,ɪ d e ɪ t o b o f
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,185.1,188.52,KCHI,e ɪ b o f b ʌ h i ə ɑ ɪ z n ʌ w ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,196.02,197.86,KCHI,w ɛ h i d ʌ z ə w ɪ ŋ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,202.48,204.06,KCHI,b ʌ h i æ z ə b ɪ ɡ w ʌ ŋ ɡ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,208.02,210.94,KCHI,b ʌ h i z w i ə z ə h i ə p ɑ n t u
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,212.32,213.3,KCHI,ɑ h i æ s
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,213.78,214.92,KCHI,l a n d ə w ʌ d ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,218.08,220.5,KCHI,ɪ l æ d ə d w a ɪ d ɛ ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,222.64,222.88,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,226.86,227.4,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,230.84,231.42,KCHI,n ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,233.22,234.24,KCHI,d ɛ s
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,236.82,240.12,KCHI,i n ə w a ɪ z ʌ l a ɪ ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,240.52,242.78,KCHI,ʌ z ə ɛ p ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,244.12,247.78,KCHI,l a ʊ h i l æ n d ə w a ɪ d æ h i ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,258.7,259.16,KCHI,d ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,263.08,266.32,KCHI,t ʊ p l e z ɑ ɡ o w ɪ ŋ ɪ n d ə h æ ŋ ɡ ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,271.34,273.52,KCHI,ɡ ə p ʊ d ɪ m ɛ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,276.0,278.6,KCHI,d ɑ d ə s l i p ɪ b ə h i z ə l i
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,292.94,296.02,KCHI,w ɛ k ʌ w i n m e ɪ k ɪ m t e k o s l i p
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,298.5,300.56,KCHI,n ɛ k ɑ ɪ w i k ɪ t ɪ k o
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,302.56,302.86,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,304.14,304.76,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,306.46,307.32,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,310.2,310.82,KCHI,b i ŋ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,321.52,322.36,KCHI,n æ s æ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,325.34,329.5,KCHI,h ɪ ŋ ɡ ə d i ŋ k ə d i ŋ k ʌ n h ɪ o t ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,330.34,334.1,KCHI,o w e ɪ w ɛ n d u u a ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,335.58,336.64,KCHI,ʌ h ʌ f
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,338.3,339.32,KCHI,s u h a ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,340.56,341.54,KCHI,t a ɪ j ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,342.9,343.7,KCHI,s k a ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,345.32,346.02,KCHI,t ɪ ŋ ɡ ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,347.36,348.1,KCHI,d a ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,349.28,351.24,KCHI,ʌ n d ə j u ɔ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,357.88,358.5,KCHI,w ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,359.56,360.98,KCHI,n ʊ t ɛ ɛ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,361.42,362.5,KCHI,æ ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,363.32,363.9,KCHI,e
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,364.94,365.3,KCHI,s
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,365.48,365.88,KCHI,d i
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,366.16,367.18,KCHI,ɪ s s ɡ ɑ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,369.22,370.14,KCHI,ɪ s i
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,374.12,376.04,KCHI,w ɑ o p o h ɪ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,380.6,381.3,KCHI,d r æ f
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,394.02,397.0,KCHI,h u ɡ a m i d ʌ m ə s t ɔ m i
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,404.74,405.96,KCHI,ɑ s t ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,406.74,409.12,KCHI,b ʊ t o w i w a ɪ l o v ə d o
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,414.32,415.76,KCHI,t ʌ l ə t ɛ b i
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,418.22,419.58,KCHI,ð ɪ d ə d ə b ɪ s
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,420.98,421.12,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,430.12,434.54,KCHI,ð ɛ p e ɪ ʒ ɪ z ə ɡ ɛ a ʊ f ɔ t ɔ ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,437.18,438.32,KCHI,t ɛ d ə w a ʊ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,439.42,445.52,KCHI,ɔ d ə w ɑ n ʊ k ə b ɪ d ə ə m e ə j ɛ v ə ɪ s ə ə s ə d e d ɛ ə
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,446.04,446.3,KCHI,ɛ n o
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,467.36,468.54,KCHI,ʌ d ɑ l ɪ d a
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,470.64,471.56,KCHI,d ʌ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,474.68,475.62,KCHI,j o n k
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,478.16,478.46,KCHI,ɛ
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,481.58,482.12,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,501.48,501.84,KCHI,
ethan_020920__9337d61e7f4dc983886ede9dfe4d44e0.wav,501.96,502.06,KCHI,
