filename,onset,offset,speaker,phonemes
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,11.62,13.42,KCHI,ɪ s ɔ k s ɪ i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,19.56,21.76,KCHI,ð ɪ s ɪ ə b æ s w u w ɪ n o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,32.84,33.1,KCHI,ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,35.14,38.26,KCHI,l ʊ k ɪ d ɪ s ɛ z t a ɪ d i ə s e ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,48.62,51.64,KCHI,m e ɪ b i h i s k ə k ɛ w i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,52.06,57.32,KCHI,d ə d o n d æ s o p u l ə ɡ ʌ t s t w ʌ k ʃ ɪ n d u o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,85.62,86.18,KCHI,d u
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,88.48,90.62,KCHI,ɛ ð ə b e d ə p l e
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,91.86,92.76,KCHI,n ʊ ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,93.3,93.68,KCHI,d æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,93.86,94.28,KCHI,w ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,95.18,96.92,KCHI,w a ɪ d ə d ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,98.28,101.46,KCHI,t ʃ ɪ p w e ɪ ð ə h ɛ ɡ ə s t w ʌ k s ɪ d j o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,101.94,107.28,KCHI,s o i z w a ɪ d ɪ n ɪ t h i z w ə e d ɪ n ɪ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,107.46,109.66,KCHI,ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,112.5,114.92,KCHI,h ɪ w ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,116.62,119.28,KCHI,ð ɛ s w e ŋ d ə s æ o d ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,119.94,122.08,KCHI,d o d ə s æ b ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,136.6,136.78,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,137.3,137.8,KCHI,d ɪ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,139.3,142.62,KCHI,w ɪ n w e h i b ɑ v
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,143.28,146.22,KCHI,k w e ɪ n d ɪ s h ɪ ɡ ɔ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,149.2,151.24,KCHI,ɪ ð ə k ɪ ʃ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,160.58,161.7,KCHI,d ɪ s i p
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,172.38,175.12,KCHI,ɛ b w e ɪ t ɪ b ɪ n d ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,180.16,183.08,KCHI,h i j o ɪ z ə t w æ t ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,183.62,186.06,KCHI,ɪ b ɑ t w æ k ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,187.06,189.74,KCHI,ɪ b ɑ t w æ k ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,219.72,221.0,KCHI,ɪ s i n d ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,224.26,225.2,KCHI,ʌ d ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,232.6,234.52,KCHI,w e ɪ j u p ʊ d æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,235.7,236.54,KCHI,j i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,238.36,241.16,KCHI,w ʌ d ə p ʊ ɑ d ə w a ɪ b ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,241.86,242.84,KCHI,s ʌ p ʊ d
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,245.38,245.82,KCHI,w ʌ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,247.06,248.2,KCHI,w ʌ z ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,253.5,254.6,KCHI,n o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,256.74,258.22,KCHI,ɪ w ə z æ d ə w a ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,260.22,265.42,KCHI,h ʌ m e ʌ z ə d w ɛ t s e ɪ z ɪ d u w ɛ s ɛ b ɛ z m ɪ k l ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,270.06,270.64,KCHI,h ɛ n
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,272.06,272.42,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,273.3,274.76,KCHI,l ʌ h ɔ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,288.22,291.52,KCHI,ə d æ k f w ʌ t ɪ s t u f w ʌ n s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,302.68,304.22,KCHI,ɪ t u f w ɛ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,305.7,307.22,KCHI,l ɪ k ə d æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,314.78,317.58,KCHI,m e ɪ b i d ɪ s w ɛ n w ʊ æ v t u b æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,319.4,321.5,KCHI,d ɪ d æ ɡ u b æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,323.12,325.52,KCHI,ɪ h ɛ ʊ k ɪ ɛ v u ɡ o l a ɪ v æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,336.34,338.16,KCHI,ɪ ɡ ɛ s t u f w ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,339.38,340.8,KCHI,l ʊ ɡ ə d æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,347.18,347.88,KCHI,o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,349.32,350.96,KCHI,ə ʌ d ə f ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,358.2,359.16,KCHI,ə d æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,372.14,375.64,KCHI,m e ɪ v i ə w ʌ s t u b æ k l a ɪ d ɛ ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,377.08,377.82,KCHI,h ɪ z æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,382.58,383.92,KCHI,f a ɪ h ə t ɪ ɡ ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,392.48,394.02,KCHI,w ɪ ə ɡ w ʌ d ə p ʊ l
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,398.0,398.92,KCHI,f w ɛ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,399.12,401.4,KCHI,j ɛ d ə f a ɪ ʊ t w ɛ k f w ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,401.98,403.68,KCHI,ʌ s d æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,414.48,415.12,KCHI,ʌ v ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,417.9,418.3,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,419.48,421.0,KCHI,ɛ ð ə m e ɪ k ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,423.3,427.22,KCHI,ə m e ɪ k ɪ t ɪ w ʌ d ɪ ɡ ɑ f d ɪ s b æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,428.68,429.06,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,429.84,433.68,KCHI,ɪ ð ə ð ɪ s p æ h ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,433.82,434.44,KCHI,d ɪ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,435.2,436.36,KCHI,f w ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,439.56,440.64,KCHI,d æ s w e ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,442.78,445.12,KCHI,ʌ d ə t e ɪ k d ɪ s ɑ f
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,445.92,448.0,KCHI,f ɛ d ɛ p ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,449.18,451.0,KCHI,d ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,454.06,454.78,KCHI,ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,458.54,460.82,KCHI,w ə d æ t w ə d æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,460.96,461.68,KCHI,ə d æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,483.94,485.56,KCHI,h u w ɪ k æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,490.72,493.08,KCHI,d ɪ f w ɪ ə k æ f ə f w ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,496.2,497.36,KCHI,ð ɪ s ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,497.5,499.7,KCHI,f w ɛ l i ɡ ʌ t w ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,501.48,501.66,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,506.08,508.32,KCHI,ɛ f ʊ ə θ ɛ l ʊ s ʊ k ʊ z
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,518.96,520.36,KCHI,d æ s ə b l æ k w ʌ n
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,521.16,521.98,KCHI,ɛ d
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,522.18,523.78,KCHI,t e d ɪ s ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,528.7,529.1,KCHI,ɪ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,531.44,533.3,KCHI,j ɛ ɪ ð æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,534.48,535.34,KCHI,ɛ ð æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,537.54,537.84,KCHI,ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,539.68,541.28,KCHI,ɪ s ə s ɪ ɡ n o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,559.24,560.36,KCHI,ʊ ɛ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,561.18,561.92,KCHI,b ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,564.92,566.34,KCHI,w ʌ s d ɛ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,566.54,567.44,KCHI,ə d ɪ ɡ o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,587.06,589.86,KCHI,w ʌ d e ɪ ɡ æ ɑ f
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,592.78,594.04,KCHI,d u k ʌ b ɑ f
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,597.0,597.48,KCHI,d e ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,600.04,602.38,KCHI,n o h ʊ d æ ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,603.62,604.4,KCHI,ɪ z æ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,611.9,612.92,KCHI,w ʌ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,614.82,616.68,KCHI,z ɪ n ɪ s p u v ə b a j ə t s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,617.22,618.74,KCHI,ʌ f w ʌ v a d e
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,628.84,629.54,KCHI,n ə h ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,636.34,636.8,KCHI,d ɪ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,637.76,641.36,KCHI,k ɪ b i ə d ɪ ɡ o d ɪ b ɔ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,645.62,648.08,KCHI,ʌ s k ɛ ɪ s ɡ o
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,658.22,658.94,KCHI,ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,659.76,661.88,KCHI,ʊ ɛ u p ɪ u
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,666.42,666.8,KCHI,ʊ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,667.18,669.04,KCHI,ʌ j u ə d ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,670.88,672.48,KCHI,j u b æ p æ k
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,672.62,673.64,KCHI,ɪ z d e
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,678.04,679.8,KCHI,ɪ s j u b æ p æ k ɪ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,680.58,680.9,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,685.44,687.58,KCHI,ɪ ɪ s d o w ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,687.82,688.9,KCHI,j æ d æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,689.54,691.92,KCHI,d o ə w ɑ s d æ æ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,693.88,695.36,KCHI,ɛ d ə t i s i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,703.86,706.52,KCHI,j u w ɑ s d æ ʌ d i i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,712.42,712.68,KCHI,ə f
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,717.48,717.66,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,717.8,721.08,KCHI,b ɛ ɛ d ə b i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,721.18,722.88,KCHI,d u d ɑ d ə b i t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,730.38,733.08,KCHI,h ɛ s d ə h ɑ h ɛ t ʌ ð ɪ t u
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,733.78,736.3,KCHI,n ʌ w ɪ d ə d ə p ɑ ə b ə w ɑ s
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,736.44,739.86,KCHI,h æ d ɪ s l ʊ w ɑ k s l ʊ ɡ ʊ k
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,749.24,750.02,KCHI,w ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,750.98,752.1,KCHI,ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,754.42,755.38,KCHI,u w i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,756.2,756.94,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,759.58,760.44,KCHI,f ɔ ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,761.62,763.0,KCHI,d ɛ ɪ k ə d ʌ b ɪ n
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,763.7,764.16,KCHI,t ɪ d ə
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,771.68,772.52,KCHI,w ʌ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,773.98,774.96,KCHI,t u
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,777.94,778.84,KCHI,w i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,781.4,781.66,KCHI,
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,785.44,786.16,KCHI,ʌ h
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,787.08,789.16,KCHI,ʊ p ʊ t ə m ɑ l ɪ z ə h e ɪ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,793.86,794.58,KCHI,ʌ ɡ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,796.58,798.24,KCHI,ɛ n ə d o b l u
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,799.98,800.7,KCHI,d ɑ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,812.14,813.92,KCHI,w ɛ ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,815.9,816.68,KCHI,w ɛ t
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,819.82,821.26,KCHI,w ʌ j u w ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,827.84,829.06,KCHI,ə n ɪ s ɪ s ə w ɛ
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,831.82,834.68,KCHI,w ɛ s ɪ d ə ɛ l ə w ɛ b i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,835.54,836.5,KCHI,ə w ɛ d i
ethan_021018__6d90ed0a2c90ec7bf3ab13407d381ce3.wav,838.1,838.44,KCHI,
