filename,onset,offset,speaker,phonemes
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,22.14,23.88,KCHI,θ w i
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,35.82,39.58,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,39.8,42.28,KCHI,d ɪ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,43.36,43.78,KCHI,s ʌ m
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,87.56,91.04,KCHI,j æ h a ɪ o n o m
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,123.38,123.78,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,216.72,217.68,KCHI,ɪ n b ɪ ɡ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,222.64,222.88,KCHI,s w ʌ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,223.74,226.4,KCHI,l ɪ ɾ o b æ t u
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,242.78,243.04,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,246.64,247.6,KCHI,m
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,247.76,247.9,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,250.88,251.9,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,262.68,263.3,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,304.32,305.06,KCHI,n o n i
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,314.42,318.4,KCHI,j æ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,334.32,334.44,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,378.1,378.44,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,378.7,380.18,KCHI,s o ʌ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,380.9,382.08,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,397.08,399.6,KCHI,a ɪ j ɛ s w i
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,403.02,403.86,KCHI,j æ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,417.9,418.14,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,452.18,453.14,KCHI,ð ɪ s
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,465.66,468.16,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,481.58,482.64,KCHI,n e ɪ d a ʊ n ɪ n ɛ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,483.44,486.68,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,525.36,527.26,KCHI,m e ɪ b i h i n i d ɪ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,547.62,549.24,KCHI,a ɪ p ɪ ŋ e l a ɪ k s
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,557.2,557.92,KCHI,ə n ʌ d ə ɹ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,565.16,566.04,KCHI,d æ t s ʌ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,570.0,574.28,KCHI,d e k f ʊ r s t e ɪ d u ɪ l ʊ d æ d
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,578.66,580.1,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,585.6,587.64,KCHI,n e ɪ k ʊ l ɪ ŋ b æ d e a
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,589.04,591.12,KCHI,p ɪ n ə b æ d e o ʊ n
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,593.02,593.14,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,604.96,605.56,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,606.0,608.94,KCHI,d ə ɡ a ʊ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,634.96,640.78,KCHI,j æ a ɪ n o n o
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,641.0,642.08,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,668.32,672.62,KCHI,a m ə b
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,686.32,687.56,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,688.54,689.44,KCHI,
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,690.34,692.52,KCHI,l i d e j u s d ə s t ɑ p ɪ n
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,692.68,693.78,KCHI,s w ŋ d ə b ɛ
ew_42ec_12003__6a862759e5df6ee071df98026e6a1ae9.wav,696.5,696.66,KCHI,
