filename,onset,offset,speaker,phonemes
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,92.3,95.52,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,113.14,113.38,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,143.16,143.64,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,151.46,151.98,KCHI,i
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,159.2,163.18,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,390.04,391.06,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,437.06,437.36,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,465.66,466.2,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,697.38,698.4,KCHI,h i v æ p i s ə ð ɪ
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,741.12,743.62,KCHI,
ew_42ec_12004__4153b4df8f66cca950b30f84800e5c90.wav,833.04,834.38,KCHI,
