filename,onset,offset,speaker,phonemes
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,17.58,19.2,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,29.14,30.06,KCHI,a d o n
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,239.28,240.32,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,242.78,243.04,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,269.08,269.94,KCHI,ŋ k
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,298.5,299.16,KCHI,f ə n
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,315.84,316.42,KCHI,d ə ɡ ɑ
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,340.62,341.42,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,346.26,346.82,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,428.04,428.68,KCHI,a k e
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,504.58,505.16,KCHI,o
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,529.34,530.7,KCHI,ʒ i ʒ i d ʒ ʒ
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,553.22,553.72,KCHI,p i i
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,788.26,789.08,KCHI,u
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,823.86,824.02,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,860.38,861.32,KCHI,æ w i
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,927.34,928.46,KCHI,
ew_42ec_12033__75dc2e358d9c9cd19ca2cdc1aa382627.wav,930.18,931.32,KCHI,n o ɪ s t a
