filename,onset,offset,speaker,phonemes
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,40.78,42.38,KCHI,ʊ n
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,43.78,47.76,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,57.82,57.94,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,59.6,59.7,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,63.68,64.14,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,65.02,67.66,KCHI,b ʌ i d ʌ z b ɪ d ɪ
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,79.76,80.6,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,264.14,264.46,KCHI,v ə
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,383.1,383.26,KCHI,ð
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,386.86,388.08,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,390.04,390.48,KCHI,ð e
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,457.08,457.7,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,497.5,498.66,KCHI,ð ə b e b i f ɪ
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,511.28,513.42,KCHI,
ew_42ec_22180__8932f4479a5e15d71d6c0780f8b46d0e.wav,541.28,542.18,KCHI,h a ə w ɪ s
