filename,onset,offset,speaker,phonemes
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,30.1,31.12,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,47.76,48.82,KCHI,z a d i z ɪ z ɛ ɹ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,75.62,76.9,KCHI,ɪ t h i ɹ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,86.88,88.28,KCHI,t h i m ɪ s i
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,99.5,100.92,KCHI,ə h æ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,109.44,110.64,KCHI,j ɛ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,187.86,189.5,KCHI,l a ɪ k ð ɪ s n o h e
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,191.04,192.02,KCHI,w ɛ w ʌ ɡ o i
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,208.0,208.98,KCHI,ə k i
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,212.52,214.32,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,219.24,222.8,KCHI,w i ŋ l ʊ ɹ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,277.38,278.52,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,292.92,294.04,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,354.22,354.5,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,400.26,400.94,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,425.88,426.48,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,660.68,660.84,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,684.56,684.72,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,686.68,688.54,KCHI,ʌ
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,692.52,694.68,KCHI,
ew_42pc_11013__6a07d578acc6e70f5f448be781537b61.wav,721.68,723.42,KCHI,
