filename,onset,offset,speaker,phonemes
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,15.92,23.88,KCHI,ɛ ɑ n ə p ʊ θ ɪ s j ɛ
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,27.86,32.08,KCHI,p ʌ k ɪ n
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,179.4,180.74,KCHI,t ɑ
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,215.88,216.3,KCHI,
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,286.56,286.86,KCHI,
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,311.26,311.5,KCHI,
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,385.38,386.06,KCHI,e d æ
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,399.92,400.98,KCHI,m ʌ m j u n o h a
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,401.14,401.26,KCHI,n i
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,420.12,421.66,KCHI,ʌ
ew_42pc_12007__818f48bab187ae64933eba03cc523518.wav,425.86,426.28,KCHI,
