filename,onset,offset,speaker,phonemes
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,82.06,83.16,KCHI,k e b e
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,109.98,110.82,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,131.34,132.08,KCHI,ɛ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,246.94,249.52,KCHI,j æ t ɔ ɹ d o ʊ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,297.22,298.48,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,317.34,317.58,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,356.84,357.9,KCHI,h ə n a n o l
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,425.22,425.86,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,437.18,438.5,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,467.12,469.2,KCHI,o k e ɪ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,482.6,484.02,KCHI,w d ɪ w ɛ l w ɛ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,504.54,505.46,KCHI,
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,522.12,525.0,KCHI,k e ɪ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,566.96,568.3,KCHI,j æ
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,569.14,573.12,KCHI,n a ɪ s w ʌ m a s t ɛ ɹ ɹ o z
ew_42pc_12014__db4b2519374175dce09e26db02179711.wav,593.24,594.44,KCHI,
