filename,onset,offset,speaker,phonemes
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,88.56,90.04,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,170.38,171.96,KCHI,a ɪ d ɪ ŋ
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,172.88,174.96,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,210.94,211.98,KCHI,ʃ ɛ i
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,229.76,230.84,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,239.42,241.14,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,270.64,270.92,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,306.46,307.58,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,335.82,336.76,KCHI,t h ɛ s
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,349.92,350.24,KCHI,m f ʊ
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,419.2,421.7,KCHI,j
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,466.78,467.72,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,513.42,513.9,KCHI,
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,577.1,577.78,KCHI,f a m p ɑ
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,589.76,592.62,KCHI,o ʊ j ɛ s w ʌ d ɪ j u l a ɪ
ew_42pc_21189__02cc2b1ac9b59e261688b6406c7ba8ed.wav,611.3,612.82,KCHI,
