filename,onset,offset,speaker,phonemes
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,63.68,63.88,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,83.24,83.58,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,95.52,97.04,KCHI,ɑ ɡ n
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,181.94,182.46,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,187.06,187.42,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,222.88,224.24,KCHI,w ɪ z ð æ ɪ d ə h æ f ɪ
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,227.2,228.56,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,444.8,445.28,KCHI,
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,469.64,471.26,KCHI,h
ew_42pc_22103__ef5298cb55aaa9faab0c71b61622be9a.wav,638.8,639.58,KCHI,
