filename,onset,offset,speaker,phonemes
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,83.58,83.76,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,107.46,107.7,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,187.06,187.62,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,197.72,199.0,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,231.64,232.06,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,290.54,291.96,KCHI,o ʊ w a ɪ l i p
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,300.86,302.48,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,395.74,396.58,KCHI,w a ɪ h i
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,454.84,456.28,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,505.96,506.14,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,518.72,519.66,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,530.92,531.18,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,531.74,532.04,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,533.7,534.44,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,593.5,594.48,KCHI,
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,687.72,688.22,KCHI,d ə
ew_42pc_22108__e83d240d8657145cd8ed6261db2c5e58.wav,714.82,715.78,KCHI,
