filename,onset,offset,speaker,phonemes
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,19.9,20.28,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,21.56,22.34,KCHI,ə
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,122.6,122.88,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,122.98,123.2,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,123.6,124.28,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,221.08,221.38,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,390.04,390.68,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,455.14,456.26,KCHI,ɪ n θ ɪ
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,456.9,457.0,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,502.62,503.34,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,504.24,504.72,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,518.32,519.76,KCHI,ə b ɛ
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,537.3,540.72,KCHI,d ɛ n d ɛ n t d ʌ n d ɛ n d ʌ n t
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,541.44,543.78,KCHI,s o d ɪ z ə
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,578.74,578.94,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,591.88,593.02,KCHI,p
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,663.92,664.32,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,680.58,681.32,KCHI,s d ə b e ɪ
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,682.88,684.9,KCHI,
ew_42pc_22120__0282fe8d31f76a5d734d76e000d22ef5.wav,686.28,688.22,KCHI,ʌ
