filename,onset,offset,speaker,phonemes
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,79.6,79.82,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,81.34,82.24,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,84.0,86.14,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,87.56,89.36,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,90.66,91.14,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,91.54,99.5,KCHI,a ɪ s j u m e ɪ k ɪ ŋ ə ɡ e ɪ
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,213.52,214.52,KCHI,n ɪ
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,318.4,319.54,KCHI,a ɪ ɡ ɑ d ɪ t
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,320.14,326.36,KCHI,h o l p ɑ m ə b ɪ b ɔ ɪ
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,330.34,334.32,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,342.28,346.26,KCHI,j æ
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,405.96,409.94,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,434.96,436.3,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,437.8,438.0,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,453.72,454.2,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,457.7,465.66,KCHI,h ɪ ɹ k ə t s ʌ m k æ k ɪ ɾ a ʊ t n o h æ h ə h ɑ h ɑ
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,481.58,484.68,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,485.56,489.54,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,493.52,499.22,KCHI,ʌ m a w i ɡ ɑ n p e
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,501.48,503.98,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,536.74,537.24,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,552.76,554.38,KCHI,p
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,568.72,569.88,KCHI,ʌ n
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,571.3,573.12,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,589.04,590.34,KCHI,n o
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,599.2,600.98,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,608.34,608.94,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,632.82,633.82,KCHI,
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,635.8,636.28,KCHI,ʌ m
ew_42pc_22148__3b03bf724ecf12636816990579c660d2.wav,743.66,744.24,KCHI,n ʌ
