filename,onset,offset,speaker,phonemes
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,214.92,215.14,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,215.96,216.86,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,274.36,274.62,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,305.36,308.8,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,316.06,316.62,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,316.86,318.08,KCHI,s ʌ ʌ n t
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,450.72,451.58,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,500.6,501.48,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,576.06,576.5,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,597.0,597.34,KCHI,ŋ
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,635.14,635.64,KCHI,h i f a n
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,745.72,747.14,KCHI,
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,765.1,767.1,KCHI,j ɛ s l u b ə s ɑ
ew_54ec_12015__35922d6a4595cfd4fa2a79de647b9b52.wav,787.26,788.04,KCHI,
