filename,onset,offset,speaker,phonemes
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,113.6,115.42,KCHI,ʌ m b ʌ t a
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,119.4,120.94,KCHI,a ɪ d u
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,154.88,155.22,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,304.24,304.6,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,325.56,326.36,KCHI,ŋ k ɑ f i
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,386.06,386.26,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,516.82,517.4,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,805.56,806.62,KCHI,d ɛ s ʌ m m e ɪ k ɪ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,927.34,927.48,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1024.26,1025.12,KCHI,k ɑ f i
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1028.18,1029.0,KCHI,k ɪ ʊ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1032.36,1034.06,KCHI,t d ɪ s ɪ z ə a ɪ f ɑ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1061.28,1062.52,KCHI,ɑ f i
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1131.06,1132.3,KCHI,d u ʌ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1218.46,1219.3,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1296.42,1297.48,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1304.12,1305.44,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1362.88,1363.32,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1444.74,1445.18,KCHI,l e ɪ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1450.46,1451.56,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1472.32,1472.6,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1643.74,1644.1,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1747.08,1747.22,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1760.34,1760.76,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1830.8,1830.94,KCHI,t
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1877.72,1878.56,KCHI,ɪ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1884.42,1885.46,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,1950.2,1950.94,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2201.52,2201.96,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2467.6,2467.76,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2479.54,2480.18,KCHI,n w ɪ s ə
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2482.4,2482.76,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2511.38,2512.3,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2665.26,2665.7,KCHI,d æ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2678.54,2679.32,KCHI,d æ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2754.56,2755.74,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2964.82,2965.22,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,2973.06,2973.38,KCHI,f ə m
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3093.82,3094.46,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3193.4,3195.46,KCHI,z
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3243.7,3244.1,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3249.7,3250.22,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3279.54,3279.74,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3284.6,3285.0,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3285.18,3285.3,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3291.46,3291.68,KCHI,d ə
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3295.44,3295.82,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3297.54,3298.38,KCHI,s l u m p l e ɪ
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3321.42,3321.88,KCHI,
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3427.42,3428.06,KCHI,b ə n j u h o
gleason_father_david__325049385e6876774864db9cd8c6e06d.wav,3452.92,3453.3,KCHI,
