filename,onset,offset,speaker,phonemes
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,176.34,177.42,KCHI,s a s s p a ɪ s
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,258.7,259.58,KCHI,a
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,296.96,297.52,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,310.44,310.8,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,346.26,347.36,KCHI,æ v ə f ɔ h ɪ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,589.04,589.6,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,607.08,608.0,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,705.9,707.72,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,709.68,711.18,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,751.1,752.22,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,757.16,759.12,KCHI,n a p l i z n ɪ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,863.66,864.34,KCHI,s ɪ s ɪ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,937.08,937.78,KCHI,b ɪ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1022.86,1023.14,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1037.06,1038.78,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1053.76,1054.66,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1117.44,1117.72,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1222.66,1223.36,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1224.72,1225.32,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1229.54,1229.82,KCHI,o
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1297.48,1298.0,KCHI,w ʌ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1314.0,1314.3,KCHI,w ə
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1314.5,1314.92,KCHI,z
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1324.98,1325.44,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1327.66,1328.76,KCHI,j ɛ w ə j u
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1329.78,1330.82,KCHI,d ə b ʌ n p o
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1384.28,1385.04,KCHI,t ɪ
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1408.92,1409.48,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1491.5,1492.5,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1582.2,1582.32,KCHI,w
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1583.86,1584.04,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1679.14,1679.56,KCHI,
gleason_father_isadora__6cbe1b0416a9dc803b61687f64633016.wav,1743.24,1743.48,KCHI,
