filename,onset,offset,speaker,phonemes
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,481.58,482.26,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,526.54,528.06,KCHI,j u
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,541.86,542.44,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,728.1,728.54,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,780.08,780.86,KCHI,w ʌ d ɑ b ə
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,799.82,799.96,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,927.34,927.74,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1009.72,1010.56,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1016.82,1017.98,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1018.12,1018.24,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1496.04,1496.48,KCHI,s
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1580.42,1581.72,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1665.3,1666.8,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1683.54,1683.74,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1691.5,1692.02,KCHI,d u w ə
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1692.48,1693.0,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,1832.94,1833.26,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2081.18,2081.54,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2113.1,2113.38,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2268.6,2270.24,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2330.94,2332.28,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2361.74,2362.2,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2447.18,2447.7,KCHI,k
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2635.94,2636.86,KCHI,
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2638.74,2639.34,KCHI,ɪ ʃ m e
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2708.34,2710.38,KCHI,a
gleason_father_john__02891108433d9aca41b950a44b127d2d.wav,2722.32,2722.58,KCHI,ʊ
