filename,onset,offset,speaker,phonemes
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,13.52,13.88,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,38.3,39.8,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,131.34,132.08,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,132.52,135.32,KCHI,ɪ
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,158.78,159.2,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,324.52,325.24,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,338.3,339.12,KCHI,s b ɪ s f ɔ
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,414.56,414.8,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,441.78,442.16,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,497.28,497.5,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,512.78,513.42,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,528.36,529.34,KCHI,d a ɪ b ə r
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,594.3,595.64,KCHI,n o
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,608.64,608.94,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,813.16,813.72,KCHI,d ə o
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1053.64,1053.76,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1140.22,1141.08,KCHI,a ɪ
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1154.2,1154.46,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1167.76,1170.12,KCHI,o n ɑ t e
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1246.16,1246.46,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1261.66,1261.98,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1289.52,1289.92,KCHI,ʊ
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1389.82,1390.14,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1517.6,1518.78,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1532.3,1533.3,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1533.44,1533.88,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1534.28,1536.28,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1686.64,1689.74,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1691.18,1691.5,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1711.4,1712.32,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1722.14,1723.28,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1755.18,1755.6,KCHI,ɪ
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1858.66,1859.16,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1926.32,1929.22,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1953.16,1953.42,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,1962.14,1962.44,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,2026.52,2027.26,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,2315.68,2316.36,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,2519.34,2519.52,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,2729.24,2730.28,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3076.54,3077.32,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3103.22,3103.84,KCHI,e
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3187.84,3187.98,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3233.42,3234.68,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3254.34,3255.64,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3260.0,3260.64,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3462.36,3462.6,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3560.08,3560.96,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3605.88,3606.5,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3698.54,3699.32,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3810.16,3811.02,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3941.32,3941.74,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3975.4,3976.02,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3976.9,3977.8,KCHI,d ə
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3983.98,3984.68,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,3987.06,3987.96,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4033.26,4034.66,KCHI,a m d ə d u
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4111.96,4112.06,KCHI,e
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4112.22,4114.34,KCHI,n o a k ɐ̃ a t u b
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4139.62,4141.16,KCHI,f ə r
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4274.52,4274.94,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4402.44,4405.14,KCHI,
gleason_father_laurel__42e645b97fd3b9546ac03ce606975b6f.wav,4425.64,4425.76,KCHI,
