filename,onset,offset,speaker,phonemes
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,154.94,155.32,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,214.92,215.36,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,381.52,384.84,KCHI,t i
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,516.96,517.4,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,586.16,587.72,KCHI,z ə n f ɪ t
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,618.28,619.98,KCHI,i v ɪ z ɪ n ɔ m ə
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,620.4,620.6,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,620.7,620.88,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,634.64,634.74,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,643.84,644.46,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,735.82,736.3,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,742.82,744.26,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,834.88,835.8,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,890.74,891.52,KCHI,d æ
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,904.42,905.62,KCHI,ɔ t ɪ n ɪ t
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,970.82,972.06,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1022.86,1024.92,KCHI,d
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1034.8,1035.12,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1041.72,1042.76,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1050.8,1051.74,KCHI,j ɛ
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1054.04,1054.7,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1081.9,1082.54,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1090.52,1090.84,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1107.92,1110.42,KCHI,j æ b ə t ʃ i h æ v
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1141.9,1142.26,KCHI,w ʌ s
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1153.74,1154.2,KCHI,d ə r t i
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1158.18,1159.86,KCHI,t j æ b ə
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1253.7,1254.72,KCHI,k ə n d ə m
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1339.5,1341.26,KCHI,o
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1421.88,1423.12,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1423.34,1424.62,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1452.7,1452.94,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1508.42,1509.76,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1510.72,1510.86,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1635.78,1636.08,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1636.18,1638.14,KCHI,j ɛ t ʃ u k
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1989.12,1989.42,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,1994.98,1995.54,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,2045.2,2045.72,KCHI,
gleason_father_olivia__556a0dadf875da39dcacacb5676a0dc3.wav,2070.82,2071.26,KCHI,
