filename,onset,offset,speaker,phonemes
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,313.56,314.42,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,334.34,334.44,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,366.16,367.36,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,624.86,625.38,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1002.74,1003.2,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1022.64,1022.86,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1050.72,1051.94,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1170.12,1170.44,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1401.34,1401.94,KCHI,
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1589.68,1591.32,KCHI,w a ɪ
gleason_mother_frank__908a20f39233f94be64a3d4e0312c45a.wav,1675.02,1675.58,KCHI,
