filename,onset,offset,speaker,phonemes
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,0.0,0.54,KCHI,ʌ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,31.84,32.08,KCHI,
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,42.28,42.86,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,46.24,46.9,KCHI,h ʌ h
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,47.56,48.08,KCHI,
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,48.28,49.02,KCHI,
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,53.78,54.72,KCHI,i t ʃ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,60.38,60.8,KCHI,e
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,90.6,91.7,KCHI,t e ʒ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,95.3,95.52,KCHI,
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,115.42,116.38,KCHI,
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,138.86,139.74,KCHI,ʒ ɛ ʒ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,142.3,143.28,KCHI,ɛ ʒ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,144.18,145.34,KCHI,ʃ i ʒ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,146.94,147.26,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,148.28,148.7,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,152.08,152.44,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,153.38,154.48,KCHI,ɛ ʃ e
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,155.22,156.66,KCHI,ə j ɪ ʃ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,158.96,159.46,KCHI,ʊ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,188.26,189.18,KCHI,ɪ z ɪ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,234.5,235.52,KCHI,ɪ j ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,236.54,237.5,KCHI,d ʌ d e ɪ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,239.58,240.62,KCHI,h ʊ ʃ i
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,242.0,242.5,KCHI,ʌ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,245.82,246.76,KCHI,ɪ ʃ ɪ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,315.52,315.82,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,316.64,317.08,KCHI,ɛ
lily_010213__c7b793cb60aaeb1ea92b8d9a50ace683.wav,321.38,322.58,KCHI,ʌ t e
