filename,onset,offset,speaker,phonemes
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,7.38,7.76,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,7.96,8.56,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,8.72,9.16,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,31.42,31.8,KCHI,b æ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,45.76,46.02,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,46.36,46.56,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,62.24,63.08,KCHI,ɛ h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,68.38,68.76,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,70.68,70.9,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,77.88,78.38,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,89.32,89.58,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,94.4,95.52,KCHI,ʌ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,104.82,105.16,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,108.66,108.98,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,110.42,111.44,KCHI,ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,118.3,118.92,KCHI,ɛ h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,120.02,120.88,KCHI,ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,139.06,139.3,KCHI,h ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,143.28,143.9,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,236.94,237.76,KCHI,e d ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,244.16,244.58,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,274.5,274.62,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,280.2,280.36,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,283.04,283.18,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,298.5,298.86,KCHI,ʃ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,354.22,354.36,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,361.94,362.44,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,369.88,370.14,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,373.9,374.12,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,398.0,398.16,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,425.86,426.34,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,533.32,533.64,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,544.4,544.78,KCHI,h ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,624.08,624.52,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,635.66,637.18,KCHI,ʌ ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,644.02,644.34,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,644.82,644.96,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,651.48,652.26,KCHI,ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,653.66,653.78,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,654.24,654.6,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,659.38,660.68,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,664.12,666.02,KCHI,u h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,677.46,678.24,KCHI,ʌ h ɪ h
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,684.6,685.56,KCHI,æ t ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,686.72,687.38,KCHI,h
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,688.78,689.94,KCHI,ɪ d ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,691.24,692.24,KCHI,ɛ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,693.22,694.34,KCHI,j ɪ d ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,695.6,696.88,KCHI,d o h ɑ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,698.76,699.96,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,701.1,701.76,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,703.06,703.74,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,705.3,706.34,KCHI,d ɛ d ɑ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,707.38,708.66,KCHI,d ɑ t ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,709.96,710.62,KCHI,h
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,711.42,711.78,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,717.14,718.02,KCHI,ɛ s æ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,719.16,719.84,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,721.46,722.98,KCHI,t i d ɑ t ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,724.36,724.88,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,726.92,727.62,KCHI,w ʌ f
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,730.52,731.04,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,733.42,734.4,KCHI,d ɪ t i
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,736.6,737.42,KCHI,ʊ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,741.26,741.86,KCHI,ɪ h ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,744.26,744.92,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,749.16,750.48,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,761.64,762.8,KCHI,d æ s ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,764.6,765.56,KCHI,h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,766.86,767.4,KCHI,h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,772.6,773.84,KCHI,ɪ t ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,780.74,781.64,KCHI,ɪ t ʃ i
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,782.86,783.76,KCHI,ɪ ʃ i
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,786.64,787.2,KCHI,h
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,790.12,790.78,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,793.58,794.54,KCHI,ɪ t e
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,795.62,796.22,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,798.58,799.06,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,801.16,802.24,KCHI,ɛ s e
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,812.4,812.96,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,814.62,815.12,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,815.42,815.64,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,818.7,819.76,KCHI,æ t i
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,828.74,829.0,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,829.82,830.36,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,847.58,847.8,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,850.42,851.1,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,861.9,863.12,KCHI,d æ d ɑ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,867.26,867.82,KCHI,h
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,869.0,869.54,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,871.88,872.66,KCHI,d æ h i
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,874.12,874.72,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,876.26,876.68,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,883.56,885.0,KCHI,t ɛ h e
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,891.36,891.52,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,900.96,902.1,KCHI,ɛ t ʃ o
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,906.3,906.52,KCHI,ɛ s
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,907.94,908.52,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,919.4,919.92,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,926.88,927.34,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,938.86,939.92,KCHI,ɛ h o
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,961.58,962.48,KCHI,d æ ʃ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,970.74,971.12,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,987.04,987.8,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,987.98,988.98,KCHI,ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1014.16,1014.72,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1026.26,1028.98,KCHI,ɛ ɪ ɪ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1032.54,1032.8,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1034.18,1034.8,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1035.92,1036.54,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1042.98,1043.68,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1051.2,1051.9,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1053.6,1054.16,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1060.98,1061.7,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1066.46,1067.14,KCHI,ɛ ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1070.7,1071.52,KCHI,h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1073.58,1074.3,KCHI,h ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1077.02,1078.12,KCHI,ɪ ʊ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1081.84,1082.56,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1090.96,1091.66,KCHI,ɪ h ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1100.86,1101.36,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1102.98,1104.08,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1104.22,1105.66,KCHI,ʌ ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1106.74,1107.1,KCHI,ʌ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1108.46,1108.78,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1111.18,1111.58,KCHI,ɛ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1114.4,1114.66,KCHI,
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1115.98,1116.9,KCHI,d ɛ p ʊ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1120.2,1120.98,KCHI,ɪ h ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1122.74,1123.36,KCHI,ɪ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1126.34,1126.88,KCHI,j ʌ ʃ
lily_010228__dfc3ecb9e348df9e9478c8a4bb6eb48d.wav,1128.56,1129.38,KCHI,d ɑ
