filename,onset,offset,speaker,phonemes
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,74.48,74.6,KCHI,ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,74.86,75.1,KCHI,ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,85.48,86.74,KCHI,
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,117.44,117.94,KCHI,h ʌ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,126.46,127.22,KCHI,ʌ ʌ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,137.38,138.16,KCHI,ɛ ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,138.64,139.48,KCHI,ɛ ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,139.58,139.92,KCHI,ʌ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,140.92,141.24,KCHI,ɪ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,164.54,165.28,KCHI,ɪ ʌ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,170.96,171.14,KCHI,ʌ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,187.06,187.32,KCHI,ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,187.6,187.76,KCHI,ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,189.34,190.82,KCHI,t i t i
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,197.96,198.46,KCHI,
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,202.44,202.84,KCHI,ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,247.26,248.04,KCHI,
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,278.6,279.2,KCHI,h ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,310.62,311.32,KCHI,ɪ ɛ
lily_010323__c98d89bfd1fd157b0dbd3a77f5a0239f.wav,311.52,311.76,KCHI,æ
