filename,onset,offset,speaker,phonemes
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,2.9,3.4,KCHI,h ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,15.92,16.32,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,17.24,17.62,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,24.08,24.52,KCHI,ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,27.16,27.86,KCHI,ʊ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,35.0,36.6,KCHI,ɛ ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,54.2,54.78,KCHI,h m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,67.86,69.54,KCHI,d ʊ d i
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,70.32,72.06,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,73.72,74.64,KCHI,d ʌ j æ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,89.2,89.6,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,101.82,102.84,KCHI,v u v i
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,104.18,104.62,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,119.52,120.8,KCHI,m b u
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,121.98,122.98,KCHI,m ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,128.2,128.98,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,140.84,141.76,KCHI,m ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,168.9,169.46,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,174.38,175.08,KCHI,e ɪ ʃ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,175.42,180.9,KCHI,e ɪ ʃ ʌ e ɪ ɾ u d ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,181.6,182.84,KCHI,e ʒ ʊ r
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,187.2,188.1,KCHI,h ʊ ʃ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,206.1,206.96,KCHI,d æ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,210.48,211.06,KCHI,ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,239.74,241.84,KCHI,ɛ d i i
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,269.42,270.24,KCHI,ɪ ʃ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,278.72,279.3,KCHI,h ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,285.0,286.38,KCHI,w e ʒ ɪ ʊ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,297.82,298.5,KCHI,d ɪ d t
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,350.0,350.24,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,391.84,392.68,KCHI,d ʌ d i
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,420.36,420.78,KCHI,ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,422.52,422.9,KCHI,ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,425.16,425.52,KCHI,t ʃ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,426.46,427.18,KCHI,h ɛ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,435.46,435.94,KCHI,ɪ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,445.62,445.76,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,450.06,450.7,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,451.22,452.12,KCHI,ʊ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,454.98,455.18,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,504.72,504.84,KCHI,
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,506.92,508.04,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,509.44,510.5,KCHI,w ɑ w e ɪ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,517.4,517.66,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,520.76,521.38,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,532.9,533.64,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,550.14,551.0,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,566.68,567.42,KCHI,o t ɪ s
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,578.2,578.76,KCHI,ʊ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,600.14,600.76,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,661.34,661.88,KCHI,h ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,663.18,663.8,KCHI,ɛ ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,731.22,731.84,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,747.98,748.24,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,748.88,749.28,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,750.82,751.4,KCHI,m
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,757.7,758.26,KCHI,ʌ
lily_010423__3b454d987a979f4e2666fd28a586eb79.wav,764.16,764.9,KCHI,ɪ
