filename,onset,offset,speaker,phonemes
lily_010803__588b55ce8f533850639827a5cc551911.wav,0.34,0.62,KCHI,h ɪ
lily_010803__588b55ce8f533850639827a5cc551911.wav,25.18,26.02,KCHI,d ɛ d ʊ
lily_010803__588b55ce8f533850639827a5cc551911.wav,27.12,28.16,KCHI,æ b o
lily_010803__588b55ce8f533850639827a5cc551911.wav,44.96,45.84,KCHI,f i ə
lily_010803__588b55ce8f533850639827a5cc551911.wav,49.8,50.6,KCHI,f i ə
lily_010803__588b55ce8f533850639827a5cc551911.wav,61.58,62.72,KCHI,ʃ i s
lily_010803__588b55ce8f533850639827a5cc551911.wav,75.62,76.36,KCHI,ʊ ʊ
lily_010803__588b55ce8f533850639827a5cc551911.wav,94.98,95.52,KCHI,d ʌ
lily_010803__588b55ce8f533850639827a5cc551911.wav,109.08,109.98,KCHI,d ʌ s d ɑ
lily_010803__588b55ce8f533850639827a5cc551911.wav,115.42,116.38,KCHI,t ʃ i k
lily_010803__588b55ce8f533850639827a5cc551911.wav,117.22,118.1,KCHI,p ɪ t
lily_010803__588b55ce8f533850639827a5cc551911.wav,122.92,123.94,KCHI,b i s
lily_010803__588b55ce8f533850639827a5cc551911.wav,136.54,137.78,KCHI,d ɑ d ɑ
lily_010803__588b55ce8f533850639827a5cc551911.wav,139.84,140.96,KCHI,p ʌ ʃ
lily_010803__588b55ce8f533850639827a5cc551911.wav,153.86,154.86,KCHI,m ʌ ʃ
lily_010803__588b55ce8f533850639827a5cc551911.wav,156.14,156.6,KCHI,m
lily_010803__588b55ce8f533850639827a5cc551911.wav,161.7,162.72,KCHI,ʃ u s
lily_010803__588b55ce8f533850639827a5cc551911.wav,170.5,171.14,KCHI,p i k
lily_010803__588b55ce8f533850639827a5cc551911.wav,180.66,180.9,KCHI,ʌ
lily_010803__588b55ce8f533850639827a5cc551911.wav,183.66,187.64,KCHI,ɛ z e k ɛ d e ɪ d ə t i d æ i d
lily_010803__588b55ce8f533850639827a5cc551911.wav,188.62,189.74,KCHI,ɑ l i k ɛ
lily_010803__588b55ce8f533850639827a5cc551911.wav,189.86,190.44,KCHI,a
lily_010803__588b55ce8f533850639827a5cc551911.wav,193.16,196.84,KCHI,i d æ d ə a ɪ æ s ə ə t æ d ə
